question,answer,chapter,generated_answer,system_prompt
How many movements can a chase participant take per round?,"Each participant can take one movement action per round, plus the difference between his movement rating and the movement rating of the slowest chase participant",7,1 or more,You are a helpful AI assistant.
What methods can the Keeper use to create obstacles and hazards during a chase?,"The Keeper can decide using his own imagination, or do that randomly using a 1D100 roll.",7,"The Keeper can use a variety of methods to create obstacles and hazards, including using miniatures or models, markers or tokens, and even household items.",You are a helpful AI assistant.
How are vehicle damages computed after a collision?,By rolling a 1D6 to compute build damage. A delay of the vehicle can also be computed costing a 1D3 movement action,7,The vehicle's build is reduced by the amount of damage received.,You are a helpful AI assistant.
What state of insanity exist in the game?,"There are three states of insanity: temporary, indefinite and permanent.",8,"temporary, indefinite, and permanent",You are a helpful AI assistant.
How many Sanity points must an investigator loose to become temporary insane?,Five or more,8,1D6,You are a helpful AI assistant.
How is it decided how many hours temporary insanity lasts?,By rolling a 1D10. The results of the roll provides the number of hours of insanity,8,"The Keeper decides, but it is usually 1D10 hours.",You are a helpful AI assistant.
What is the best way to recover from Indefinite Insanity?,The best way to recover is through private care or home care,8,The best way to recover from Indefinite Insanity is to seek professional help.,You are a helpful AI assistant.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,One,9,1D6,You are a helpful AI assistant.
How can a character learn a spell?,"There are three main ways to learn a spell: from a Mythos book, from another player, or from a Mythos entity",9,"A character may learn a spell from a book, another character, or a deity.",You are a helpful AI assistant.
What type of roll must a player do to cast a spell?,A Hard POW roll,9,An opposed POW roll,You are a helpful AI assistant.
What happens when a spell casting roll fails?,"The caster must pay Magic points, Sanity Points and/or POW, multiplied by 1D6",9,The spell fails to cast.,You are a helpful AI assistant.
What information is advised that the Keeper gives to the players before they create their investigators?,"The date and location of the player scenario, a basic description of the beginning of the scenario, professions suitable for the scenario, and suggestions on how the investigator know each other",10,A brief résumé of the plot and how the investigators become involved.,You are a helpful AI assistant.
What are NPCs?,NPCs are Non-player characters that are controlled by the Keeper,10,Non-player characters,You are a helpful AI assistant.
What is an Idea Roll?,"It is a roll that allows players to get a clue, and that decides how they get this clue",10,An Idea Roll is a 1D100 roll used to determine if a non-player character has information about the Mythos.,You are a helpful AI assistant.
What are the Mythos Tomes,"They are books of arcane wisdom, secret and magic",11,A collection of books containing knowledge of the Cthulhu Mythos,You are a helpful AI assistant.
What is the Mythos rating of the Celaeno Fragments?,27,11,24,You are a helpful AI assistant.
When was the Key of Solomon written?,In the 14th century AD,11,Late sixteenth century,You are a helpful AI assistant.
What are the main spell classes?,"Dismiss Spells, Contact Spells and Enchantment Spells",12,"Call/Dismiss, Contact, and Summon/Bind",You are a helpful AI assistant.
How long does a Banishment of Yde Etad spell last at minimum?,1 hour,12,1D10+1 rounds,You are a helpful AI assistant.
What is the cost of a Bless Blade?,5 POW and 1D4 sanity points,12,1 POW; 1D4 Sanity,You are a helpful AI assistant.
Which spell can a cultist use to get in touch with alien races?,The Contact Spell,12,Contact Deity/Cult,You are a helpful AI assistant.
Who uses Carotid Toxin?,Serpent people,13,The venomous shark,You are a helpful AI assistant.
What is a Temporal Communicator?,It is an artifact that allows Yithians to communicate with entities that have contacted the artifact in time and space,13,A device that allows the user to communicate with beings from other times and places.,You are a helpful AI assistant.
What characteristics are typically possessed by monsters and beasts?,"STR, CON, SIZ, POW, INT, DEX",14,"Monsters and beasts are often described as being repulsive, repugnant, and repulsively ugly.",You are a helpful AI assistant.
What is the range of build value for a human?,From -2 to +2,14,0 to 2,You are a helpful AI assistant.
What is a Crawling One composed of?,Worms,14,A mass of iridescent globes,You are a helpful AI assistant.
What is the average STR of the Elder Thing?,190,14,95,You are a helpful AI assistant.
When do Clayton and Harris run into the forest in the 'Amidst the Ancient Trees' scenario?,On June 19th 1925,15,They run into the forest on Day 1.,You are a helpful AI assistant.
