question,generated_answer,system_prompt
What is the hypnosis skill?,"The Hypnosis skill is a mental manipulation technique that can be used to persuade or compel an individual to act in a certain way, similar to the Charm or Intimidate skills; however, it is more subtle and subtle manipulation is required. 

Hypnosis can be used on its own or in combination with other skills. If used in combination with another skill, the hypnosis roll must be made first and if successful, the other skill is used on the following round. Hypnosis can be used on both living and dead targets.

Opposing skill/Difficulty level: 

i  Hypnosis is opposed with Psychology or POW for a normal 

human target.

i  If the target is under significant stress or has a strong emotional 

connection to the topic then the difficulty level is Hard. 

i  If  the  target  is  highly  suggestible,  fatigued,  or  an  easy 

mark, the difficulty level is Hard. 

Pushing examples:  Guilt-tripping the target into submission; 
using your greater physical size/intimidation to get through to 
the target;  playing  on  the  target’s  religious  or  political 
beliefs to win them over.

Sample Consequences of failing a",You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,"In Call of Cthulhu, the Keeper decides the difficulty level of a skill roll. 

There are three levels of difficulty in Call of Cthulhu: Regular, Hard, and Extreme. 

Regular difficulty level: an average example of what would challenge a competent person. The player needs to roll equal to or below their full skill or characteristic in order to succeed. 

Hard difficulty level: this task would challenge a professional. The player needs to roll equal to or below a half of their skill or characteristic in order to succeed. 

Extreme  difficulty  level:  this  task  would  challenge  an  expert;  it  is  on  the 
border of what is humanly possible. The player needs to roll equal to or 
below a fifth of their skill or characteristic in order to succeed.

If the difficulty level of a task is set to Hard or Extreme and the roll is failed, 
the Keeper may choose to inflict damage or some other form of harm as a 
consequence of failure. This takes the form of one penalty die (for a Hard 
difficulty level) or two penalty dice (for an Extreme difficulty level). This 
rule does not apply to ranged and melee attacks, where the difficulty level 
cannot be pushed",You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,I'm not aware at this time.,You are a helpful AI assistant.
What happens when a player must use more than one skill?,"When  a  player  is  attempting  something  that  utilizes  more 
than  one  skill,  the  player  should  use  their  highest  level  of 
success. In the case of an opposed roll, the opponent’s highest 
level of success is used to oppose the player’s highest level of 
success. If the skill or characteristic called for is not listed on 
the investigator sheet, the Keeper should decide whether to allow 
its use or not, depending on the situation and the setting. 

The  Keeper  will  specify  whether  a  difficulty  level  is 
Regular, Hard, or Extreme, and the player will indicate whether 
they have a skill or characteristic that is above the difficulty 
level.  If  the  player  has  a  characteristic  that  exceeds  the 
difficulty  level  by  90  or  more,  the  chance  for  success  is 
100%. If this is the case, the skill or characteristic is so far 
beyond the difficulty level that it is not even possible to fail. 

Opposed Rolls
Many  situations  call  for  an  opposed  roll  between  two 
characters. The Keeper",You are a helpful AI assistant.
What are the optional rules of the game system?,"I'm not aware of any. This is the beginning of our conversation, and I am the one who is new to the game. If you tell me what game we are playing, I’ll be happy to advise on any optional rules for that game.",You are a helpful AI assistant.
What is a Combat Round?,"In a combat round, all characters and monsters involved in the 
combat get a chance to act. The number of actions that can 
be made is equal to the number of movement actions that the 
character is able to make. 

In 6th Edition, the combat round is not a fixed unit of 
time and should be played dramatically. A combat round is 
a combat round. The duration of a combat is not measured 
in rounds; rather, the Keeper determines when a combat is 
over. The combat will end when the Keeper judges it to be 
so, usually when one side has been defeated. 

Dexterity and the Order of Attack 
The  question  of  who  gets  the  first  opportunity  to  attack 
can be an important issue in a fight. Determine the order 
of attack by ranking the combatants' DEX from highest to 
lowest. In the case of a draw, the side with the higher combat 
skill goes first.

Actions in a Combat Round
On  their  turn  in  the  DEX  order  (highest  to  lowest)  each 
character may use their action:

T  To initiate an attack using the Fighting, Firearms, or 

Throw skills.

T",You are a helpful AI assistant.
"If more than one combatants want to attack, who has the right to attack first?","In a melee (a fight in a confined or crowded area), each combatant gets a turn in DEX order. If tied, the side with the higher combat skill goes first. If still tied, the character with the highest STR goes first. 

If characters are fighting multiple opponents, they may make a fighting maneuver against each of their opponents in a round. The number of attacks is limited by the number of opponents (see Fighting Back, page 106).

Characters and monsters that have more than one attack per round may also cast spells. The number of spells which can be cast in one round is equal to the number of attacks. 

In the case of a draw with an opponent that is casting spells, the Keeper should decide on the outcome. A character or monster that is casting a spell cannot use a weapon to attack unless the spell is a fighting maneuver (such as the Fighting spell in the Grimoire section) or unless the spell is specifically described as producing a weapon (such as Create Zombie).

A  character  that  is  being  attacked  may  fight  back  or  dodge. 
If fighting back, the target may use any of their weapons. The 
aim of fighting back is usually to inflict as much damage as possi-
",You are a helpful AI assistant.
In which situation is a character allowed to escape a close combat?,"A character is allowed to escape close combat if they make a successful DEX roll. 

i  If the character is physically restrained (pinned) by an opponent, they may use a maneuver of their own to push the 
restraint aside and break free. If the maneuver is successful the restraint is displaced and the character is free to act as they 
wish. If the maneuver is failed, the character does not move or act on their turn.

i  If  a  character  is  fighting  back  against  a  maneuver,  they  may  do  so  on  their  turn  in  the  order  of  combat,  or 
immediately if the maneuver allows it (such as when using the Fighting maneuver ""Seize"").

i  A  character  may  use  a  maneuver  to  fight  back  against  a  maneuver  made  by  an  opponent.  This  is  done  by 
making a Fighting roll at the end of the opponent’s turn in the order of combat, just before the opponent acts again. 
If the maneuver is successful, the opponent’s action does not cost them a movement action and they do not move.

Harvey is being chased by",You are a helpful AI assistant.
How is a firearm attack resolved?,"In main combat, resolving a firearm attack is similar to resolving a 
melee  attack  (see  Melee  Combat,  page  103).  The  goal  is 
always  to  hit  the  target  with  the  firearm,  and  the  difficulty 
level is determined by the range and then by the level of diffi-
culty  that  the  target  presents  (remember  that  some  charac-
ters may be able to fire into the next combat round, while oth-
ers may only just be able to get a shot off in the following round, 
especially when those with a readied firearm are involved (see 
Firearms and the DEX Order, page 113).

Once the target has been placed in the DEX order, their position 
does not change, regardless of any subsequent changes to their 
DEX score.

Harvey (DEX 55) is fighting a deep one (DEX 60) and is 
receiving 1 penalty die in the DEX order. The deep one 
acts first, then Harvey. If the deep one’s DEX score had 
fallen to 40, it would act after Harvey.

Jump, Chases, and",You are a helpful AI assistant.
How does a character recover from a major wound when the Major Wound box is checked?,"When the Major Wound box is checked, the character cannot recover 
on their own. The only way for the character to recover is with 
the use of a medic or through a successful First Aid roll. 

Recovery from a major wound takes 1D3 days. During this 
time the character is out of action and cannot be treated further 
by first aid. If a character is in a war zone, this recovery takes 
place in a field hospital. The Keeper may consult with the dice 
to determine if a major wound is healed during the investigator 
development  phase  of  a  war  game  (see  Wounds  and  Re-
covery, page 124).

If the roll is a fumble, the patient suffers a further injury. 
If the roll is a success, proceed with recovery.

121 

chapter 6: combatHarvey is fighting a deep one. At the end of the round in 
which he is knocked unconscious, his companion shoots the 
deep one, inflicting a major wound. The deep one does not 
get a chance to dodge or fight back as it is already prone on 
the floor, and the shot hits it in the neck. The deep one does 
not have a combat",You are a helpful AI assistant.
Can you provide a short description of how a Chase takes place?,"In a Chase, characters and vehicles are lined up in order of their MOV (Movement) rating. 

G  Those with the highest MOV go first, with the highest going first, followed by those with the next highest MOV, and so on.

G  On each turn, every character and vehicle gets a turn in the order determined by their MOV rating.

G  A character or vehicle can use their action to move 

forward or backward.

G  A character can also use their action to perform some-

thing else that requires time and effort, such as picking a lock.

G  If a character has only one movement action, they can 

continue to move at full speed.

G  If a character has two movement actions, they may move 

a number of locations equal to their speed (see Movement Rate, 

page 33).

Hazards: A  character  may  spend  their  movement  action  to 

push through a hazard or simply to advance one location and 

hope to avoid any further hazards. 

A character that fails to negotiate a hazard must pay the cost 
listed for that hazard. If the cost is more than the character’s 
current  movement  action  value,  they  should  not  be  able 
to",You are a helpful AI assistant.
What is a speed roll used for during a chase?,"In a chase, speed rolls are used to establish the order in which participants move. 

First, all participants make a speed roll. Speed rolls are made with the aim of getting the highest or lowest result; it depends on the situation. 

When  two  characters  are  heading  in  the  same  direction, 
those with a speed that is 5 or more points lower than an oppo-
nent should make a CON roll for a penalty die, and those with a 
speed that is 5 or more points higher should get a bonus die. 

Those with speeds that differ by 3 or less should all make 
a  regular  roll.  If  there  is  a  lead  of  3  locations,  for  ex-
ample, the character with the higher speed would be 3 loca-
tions ahead and the chase would end immediately with the 
loser losing the chase.

If  the  pursuer  is  slower  than  the  fleeing  character, 
the  chase  is  not  started  and  the  Keeper  should  simply 
describe how the pursuer loses their quarry.

Dexterity and the Order of Movement
The  question  of ",You are a helpful AI assistant.
How many movements can a chase participant take per round?,"In a chase, each participant can move a number of times equal to their MOV rating. The default MOV rate is 7. This means that someone with MOV 7 can move 7 times in a round, someone with MOV 6 can move 6 times in a round, and so on. If someone has a MOV rate of zero, they are unable to move at all. 

The round is a unit of time that allows all participants in a chase an equal opportunity to act. A combat round is not the same as a real-world second: in a combat round, some characters may act once, others may act twice, and others not at all. 

Dexterity and the Order of Movement
A  character’s  DEX  (Difficulty  Level)  determines  the  order  of 

movement in a chase.

Starting with the character at the rear, rank the characters in 
order  of  their  DEX  (highest  to  lowest).  The  character  with 
the highest DEX goes first, followed by the next, and so on. 

If  two  characters  have  the  same  DEX,  the  one  with  the 
higher STR goes first. If both are still",You are a helpful AI assistant.
What methods can the Keeper use to create obstacles and hazards during a chase?,"When  presenting  a  chase,  you  should  create  a  string  of  ob-
stacles and hazards that offer the players a challenge. 

G  A  quiet  road  may  become  congested  with  traffic. 
G  A  quiet  neighborhood  street  may  become  a  place 
where  people  are  entering  and  leaving  homes  quickly, 
perhaps a drug den or illegal gambling joint.

G  A  hazard  may  cause  damage  and  delay,  but  it  will 
not impede one character more than another. The choice of 
route is down to the players. If they choose to take a risk, you 
should be ready for a dramatic incident to occur. 

G  A  chase  that  takes  place  on  even  terrain  will  soon 
descend  into  chaos.  Keep  the  chases  organized  and 
flowing by only allowing each character to act once each 
round. If multiple characters are in the same location, the 
one with the highest DEX acts first, and so on. 

G  A  chase  that  takes  place  on ",You are a helpful AI assistant.
How are vehicle damages computed after a collision?,"In 7th Edition Call of Cthulhu, vehicle damage is resolved using a comparison of the build values of the two vehicles involved in a collision. 

If the damage is less than the build of the vehicle that 
inflicted it, the vehicle takes half of the damage it inflicted 
and suffers the other half itself.

If the damage is more than the build of the vehicle that 
inflicted it, the vehicle is wrecked. It may explode, burn, roll 
or suffer some combination thereof. Those within the vehicle 
suffer an additional 1D10 damage.

A vehicle is also damaged when it is used to inflict an 
impaling or piercing injury on another vehicle or on an in-
animate object such as a tree or lamp post. The amount of 
damage is the same as for a similar attack using a natural 
weapon, such as a fist or a knife. If a vehicle is used to inflict 
damage on another vehicle, the latter must apply the “hazard” 
rule (see following) after taking the damage.

Firearms and Vehicles
Passengers in a vehicle that is targeted with gunfire have a 
bonus die when diving for cover (if they fail to do so).

Vehicles and Barriers
A vehicle can",You are a helpful AI assistant.
What state of insanity exist in the game?,"In the game of Call of Cthulhu, there are four main states of 
insanity, each with its own effects and duration.

1.  Temporary  Insanity:  This  is  the  standard  result  of 
being  exposed  to  the  Mythos,  and  usually  means  that  the 
investigator has had a bad dream or hallucination. Temporary 
insanity lasts for 1D10 hours.

2.  Indefinite Insanity: This occurs when the cumulative 
Sanity  loss  for  a  single  day  exceeds  the  investigator’s 
Sanity points. The player needs to make a Sanity roll at the 
end of the day or the next day or the next—whenever the 
Keeper thinks appropriate—or the investigator becomes in-
definitely insane. A roll is always required if Sanity points are 
lost as a result of encountering a Mythos tome (see page 163). 

3.  Permanent Insanity: When Sanity points are lost as a 
result of an investigator’s delusion (see page 154), or if an 
insane investigator fails a Reality Check (see page 164), the 
investigator becomes permanently insane. No recovery",You are a helpful AI assistant.
How many Sanity points must an investigator loose to become temporary insane?,"An investigator would lose 5 Sanity points in a single day to become temporary insane. Alternatively, if the cumulative loss of Sanity points in a single game day is equal to or greater than the investigator’s full Sanity (thus exceeding 95, 94, or 93 in the three scenarios above), the investigator has suffered a ""shocking"" loss and should immediately make an Intelligence roll. If the INT roll is failed, the investigator loses 1D6 Sanity points and becomes temporary insane.",You are a helpful AI assistant.
How is it decided how many hours temporary insanity lasts?,"In Call of Cthulhu, the duration of temporary insanity is 
determined by the player. When going insane, the player 
chooses one, two, or three (rolling 1D3) hours of real time 
over which the investigator loses 1D10 Sanity points.

Alternatively,  the  Keeper  may  decide  on  the  duration 
of  insanity  if  time  is  critical  (for  example,  in  a  chase 
scene) or if he or she wishes to avoid delays. To do this, the 
Keeper rolls 1D10 on the Insanity Duration chart.

Note: The effects of temporary and indefinite insanity are 
the same; the difference lies in duration.

Insanity Phase 1: A Bout of Madness

Insanity phase: a bout of madness, a round, a combat, a 
scene—whatever the period of game time may be. The bout 
may be summarized, but should not be skipped.

The investigator is immune to further Sanity point loss during 
the bout of madness. The Keeper may allow some or all of 
the investigator’s actions to be performed automatically, either 
good or bad, while in this state.

On recovering from a bout of madness",You are a helpful AI assistant.
What is the best way to recover from Indefinite Insanity?,"Recovery from indefinite insanity can take a while. 

Recovery from temporary indefinite insanity can happen in one of two ways.

First, the character can make a Sanity roll at the end of each 
month. If the roll is successful, the character has recovered and 
returns to normal. 

Second,  the  character  can  recover  faster  if  they  find  a 
good therapist. With the help of a therapist, an insane investiga-
tor can attempt a Sanity roll once per session. If the roll is suc-
cessful, the investigator is cured of their indefinite insanity and 
returns to normal. A therapist can help an investigator to recover 
from temporary insanity quickly—usually within a few weeks. 

Indefinite insanity can be cured only by the intervention of 
another character (at the Keeper’s discretion), or by a successful 
Sanity roll (if alone, or if the therapist is insane). Treatment 
by  a  non-psychotherapist  can  add  1D10  percentiles  to  the 
chance of curing indefinite insanity.

Treatment  in  a  psychiatric  institution  adds  10  percentiles 
to  the  chance  of  curing  indefinite ",You are a helpful AI assistant.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,"When  an  investigator  fully  studies  a  tome,  they  should  gain 
a  tick  in  the  appropriate  language  skill  (assuming  the  book 
was written in a language the investigator is familiar with). No 
tick is awarded if the book is written in a language the inves-
tigator does not know. 

Harvey Walters  finds a tome called “The King in Yellow” 
on a shelf in a used bookshop. He has no idea what it is, but 
the cover looks old and interesting. He spends 20 hours read-
ing  the  book.  Since  the  book  is  written  in  English,  no 
language roll is required. After finishing the book, Harvey’s 
player  rolls  for  Sanity  point  loss,  resulting  in  the  loss 
of  1D6  Sanity  points—Harvey  loses  4  Sanity  points.  2 
points are lost permanently; Harvey’s player makes a successful 
Constitution roll to reduce the other 2 points.

Insanity Side-Effects 2: Delusions and 
Phobias
The next step is to generate two",You are a helpful AI assistant.
How can a character learn a spell?,"In the Cthulhu Mythos, learning a spell can take many forms, 
and often involves a degree of horror, trauma, or sacrifice. 

Finding a Book of Spells
The most common way to learn a spell is to find a book that 
contains the spell and study the book. Many Mythos books are 
written by crazies, cultists, and alien beings, and such books 
usually have the spell in both an English translation and the 
original, often bizarre, nomenclature. Some books are writ-
ten so that the spell can be found in one language and only the 
key or clue to understanding the spell in another. Sometimes 
the books are partially or completely written in an unknown 
language, requiring the Keeper to decide what is written and, 
if necessary, make translation rolls for the investigators.

The  investigators  may  also  learn  a  spell  by  finding  a 
written copy of it. A Hard Own Language roll may be required 
to decipher the text. If the roll is failed, the reader gains no 
benefit from having studied the book. It is up to the Keeper 
whether a translation is required or if the original language can 
be understood. A full study of a tome",You are a helpful AI assistant.
What type of roll must a player do to cast a spell?,"In most cases, to cast a spell the player must make a successful POW roll.",You are a helpful AI assistant.
What happens when a spell casting roll fails?,"When  a  spell  casting  roll  is  pushed  and  failed,  the  caster 
should  consider  themselves  fortunate  if  they  are  no  more 
than 5 miles away from the target when the spell fails. If this was 
a casting of Create Zombie, for example, the corpse stands up, 
only half-decomposed, and attacks the caster. The caster may 
flee and live to try again another day.

If  the  caster  is  further  than  5  miles  from  the  target  when 
the  spell  fails,  the  caster  is  safe  from  retribution  but  the 
magic point loss is doubled.

If the caster is harmed when a pushed spell fails, a Luck roll 
must be made to determine if they have also lost Sanity points as 
well. If the Luck roll is failed, the caster loses one Sanity point for 
each magic point they expended on the spell. 

Harvey is attempting to banish a monster from the face 
of the earth. He spends 20 magic points and 1D10 San-
ity points, and names a multitude of monsters, including 
some not found in this book",You are a helpful AI assistant.
What information is advised that the Keeper gives to the players before they create their investigators?,"Before the players create their investigators, it is advised that the Keeper provides the players with some basic information regarding what sort of game you intend to run. This will give the players the opportunity to create investigators that will 
fit in with the theme of your campaign. 

If your campaign is set in the modern day, the players may be able to 
create investigators who are all in their twenties, all be friends and 
all investigators of the same profession—no problem. However, if 
you are switching from a modern-day setting to a historical one, or 
vice versa, then some care is required. 

When switching from a modern-day setting to a historical one, 
the change will most often be from 0 to 100 years back in time. 
The Keeper may wish to introduce a sudden death or loss of in-
vestigator  skills  as  the  investigators  find  themselves  out  of 
their  own  time,  struggling  to  comprehend  the  unfamiliar 
surroundings.  A  sudden  transition  from  being  a  1920s  ex-
treme car enthusiast to a modern-day person would lose all skill 
points in Drive Auto. A modern-day person suddenly transposed 
into",You are a helpful AI assistant.
What are NPCs?,"NPC stands for Non-Player Character. An NPC is a term used in 
role-playing games, most commonly in role-playing games of the 
fantasy genre, such as Call of Cthulhu. An NPC is any person 
(or being) in the game who is not a player character. Essentially 
they are the “extras” in a film, a population of characters for the 
players to interact with during play. 

You are encouraged to create an NPC simply by naming him 
or her. Give the investigator a picture in their mind; something 
to  help  them  visualize  the  person.  You  don’t  have  to  be 
concerned with more than the basics of an NPC—name, relation-
ship  to  the  investigators,  and  a  few  personality  traits,  and 
perhaps a couple of roleplaying hints. 

When an investigator encounters an NPC for the first time, 
you should take the opportunity to establish the nature of the 
relationship between the investigator and the NPC. There may 
only be one or two possibilities, and you can usually determine 
the correct one by considering the investigator’s background. 
If the NPC is an acquaintance or friend, you should de",You are a helpful AI assistant.
What is an Idea Roll?,"In some roleplaying games, especially those in the Horror genre, 
the Idea Roll is used. This is rolled when a player lacks ideas how 
to proceed. An Idea Roll is a 1D100 roll. 

Firstly, if the Keeper has mentioned something that may be of 
use to the players, but has since gone unnoticed, and the players 
are stuck, the Keeper may offer a second chance to the players, 
allowing them to make an Idea roll.

Secondly,  the  players  can  call  for  an  Idea  roll.  Each 
player that calls for an Idea roll allows their investigator to gain 
a second chance. The Keeper might allow the use of the Idea roll 
even if the players have previously failed an Idea roll, but this is 
at the Keeper’s discretion.

Thirdly,  the  Keeper  may  call  for  an  Idea  roll  if  the 
players are stuck and no one knows what to do next. In this case 
the dice are rolled and the players must go with the result.

The consequence of an Idea roll is always to move the game 

on to the next chapter. 

Idea rolls may be called for by the players or the Keeper",You are a helpful AI assistant.
What are the Mythos Tomes,"A  vast  and  disturbing  array  of  dark  knowledge  awaits  in  the 
forgotten  tomes  of  the  Cthulhu  Mythos.  Each  book  describes 
a different approach to understanding the Cthulhu Mythos, as well 
as  different  ways  of  trying  to  reduce  the  Mythos  to  some 
comprehensible structure. No one person can read everything, 
and even if they could, the sheer volume of books would pro-
vide a mountain of information that is impossible to assimilate. 
The  Cthulhu  Mythos  is  not  a  single  entity,  but  more  of 
a  common  term  used  to  describe  a  range  of  unnatural, 
supernatural, and unproven scientific concepts and entities, 
and  such  a  term  is  more  easily  defined  and  approached 
through the use of a skill than a characteristic. 

The Cthulhu Mythos skill cannot be pushed.

i  Roll  01–95  for  an  Initial  reading:  if  the  roll  is",You are a helpful AI assistant.
What is the Mythos rating of the Celaeno Fragments?,"I'm not sure what you are referring to. Can you provide more information perhaps? There are many Mythos tomes, and without more information, it’s impossible to tell which one you are referring to. Could you give me a name, or a hint about the book?",You are a helpful AI assistant.
When was the Key of Solomon written?,"The  authorship  and  exact  date  of  composition  of  the  Key 
of Solomon are unknown. The book was not written by Solomon, 
a king of Israel in the tenth century BC, as the title might sug-
gest. The version most commonly available today is a medieval 
translation, possibly from Greek, though the original may have 
been written in Arabic or Latin. 

The book purports to be a translation of magical writings of 
the Jewish sage King Solomon (c. 970-930 BC), written as a man-
uscript in the Latin version and circulated privately among the 
wealthy and powerful. 

The first known printing was in Germany in the early sixteenth 
century, as a folio edition, again privately circulated. The text 
is in Latin on the inside leaves of a black binding, in a black let-
terpress typesetting. A copy is held by the British Museum. 

Sanity Loss: 1D8
Cthulhu Mythos: +2/+5 percentiles
Mythos Rating: 21
Study: 29 weeks 
Suggested  Spells:  Call  Forth  the  Angel  Yazrael  (Call/
Dismiss  Yog-",You are a helpful AI assistant.
