question,answer,chapter,generated_answer,system_prompt
What is the hypnosis skill?,"It is the ability to induce another person in a trancelike state, which allows the person to relax and recall memories that were forgotten. The limits of the skill during the game are decided by the Keeper, for example if the player is able to use the skill on an unwilling target.",4,"In  the  game,  hypnosis  is  the  suggestion  of  ideas,  im-
agery, or movements to a person’s mind without the use of 
magic points. Hypnosis can be used on its own or in combi-
nation with other forms of persuasion, such as intimidation or 
bribery.  Hypnosis  is  most  effective  when  the  target  is 
suggestible,  and  suggests  a  willingness  to  be  influenced. 
Suggestible  individuals  may  be  easily  led  to  believe  they 
have spotted an acquaintance in a crowd of strangers, or that 
a particular item is important to them when it is not. 

The  Keeper  may  use  hypnosis  to  alter  a  non-player 
character’s  actions  if  the  player  of  the  investigator  with 
hypnosis  is  successful  in  using  the  skill  on  the  non-player 
character.  The  non-player  character  may  act  normally, 
but will be under the influence of the hypnotist. The Keeper 
should  make  a  concealed  opposed  POW",You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,The Keeper,5,"The difficulty level of a skill roll is set by the Keeper. 

There are six difficulty levels in all: Fumble, Failure, Regular, 

Success, Hard, and Extreme. 

Regular difficulty level: this is the default difficulty level. 

The player needs to roll equal to or below their full skill or 

characteristic to achieve the task.

For a skill roll, the player rolls equal to or below their full skill 

level (100%) to achieve the task.

Opposing skill/Difficulty level: there are three levels of diffi-
culty in Call of Cthulhu: Regular, Hard, and Extreme. The 
Keeper may, in certain circumstances, vary the difficulty level. 
The difficulty level is not adjusted if the character takes a penalty 
die; nor is it adjusted for a bonus die (see Penalties and Bonuses 
and Bonus Dice, see page 91). 

Regular difficulty: a Regular difficulty level is a standard, 
everyday challenge. The player needs to roll equal to or below 
his or her full skill or characteristic to achieve the task.

Hard difficulty: this task is on the border of what is humanly 
possible. The player needs to roll equal to or below a half of his 
or her",You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,"The goal of the player are achieved as it would have been with the original role, without further consequences",5,"When  a  player  pushes  a  skill  roll  and  fails,  the  Keeper 
usually  has  the  option  of  inflicting  one  or  more  of  the 
following consequences. The Keeper can mix and match these to 
make the most dramatic effect.

T  The investigator loses hit points. This may require a medi-
cal  treatment  (First  Aid,  Medicine)  to  recover  (see 
Major Wound, page 123).

T  The  investigator  is  incapacitated  for  a  period  of  time 
(at  the  Keeper’s  discretion,  which  might  be  a  few  rounds 
or hours). During this time the player is incapacitated and 
can take no actions.

T  The  investigator  loses  a  significant  amount  of  Sanity 
points, enough to cause a bout of madness (see Insanity, 
page  156).  The  Keeper  may  inflict  a  bout  of  madness 
whether or not the pushed roll is failed.

T  The  investigator  suffers  a  phobia,  mania,  or  a  new 
man",You are a helpful AI assistant.
What happens when a player must use more than one skill?,"The Keeper decides if the player must roll a dice for each skill, or roll the dice only once. In the latter case, player makes only one dice roll and then applies the result to each of the skills",5,"When  a  situation  calls  for  the  use  of  more  than  one  skill, 
the Keeper should specify the skills involved and determine a dif-
ficulty level for each one. Players then make a skill roll for each 
of the skills, setting a difficulty level for each roll according to the 
difficulty level of the other skill roll.

For  example,  in  a  fight,  a  character  might  try  to  grapple 
an  opponent  using  Brawling  skill  (a  fighting  maneuver)  at 
the  same  time  as  attempting  to  punch  the  opponent  using 
Brawling skill (a regular attack). 

G  If the maneuver is to grapple or to seize an item from an 
opponent, the goal is achieved if the maneuver is successful. 
If the maneuver is to throw, to unbalance or to knock an 
opponent  to  the  floor,  the  goal  is  achieved  if  the  player 
achieves a level of success equal to or above that of the oppo-
nent. If the opponent achieves a higher level of success, the goal 
is",You are a helpful AI assistant.
What are the optional rules of the game system?,There are two optional rules: Spending Luck and Recovering Luck Points,5,"In the main, the core rules of the Call of Cthulhu game present the 
main rules and ideas of the game. These rules are intended to 
provide a good balance between the needs of different types of char-
acters, allowing players to create investigators to suit a wide range 
of playing styles. Some players may wish to create characters who 
are good in combat, while others may prefer to create solvers of 
puzzles and mysteries. Still others may wish to create a balanced 
investigator who is good at a number of skills. 

In addition to the main rules, a number of optional rules 
are  provided.  These  can  be  used  to  enhance  and  enrich 
your  game,  but  you  should  not  feel  obliged  to  use  every-
thing that is available. Some groups will find that they prefer to 
play with a smaller set of rules, while others may enjoy using a 
greater variety of options. You should gauge your group and use 
what you feel appropriate. 

This  chapter  covers  the  optional  rules  of  the  7th  Edition 
Call  of  Cthulhu  game.  The  chapter",You are a helpful AI assistant.
What is a Combat Round?,It is a unit of time in which each player can perform at least one action during combat.,6,"In a combat round, every participant in the combat gets a chance to act. The number of actions each participant gets in one round is usually determined by the number of movement actions (MOV) they have. 

A  combat  round  is  a  vital  concept  in  combat,  as  it  defines 
the  order  of  attack  and  the  number  of  attacks  that  can  be 
initiated in one round. Each character and monster gets one at-
tack action per round: those with multiple attacks can make all of 
them in a single round, while those with one attack must wait 
until the following round to make another. Some monsters and 
characters may have a bite, a kick and a fist, and are able to 
make all three attacks in one round. Others may only have one 
attack and so only get one opportunity to attack in a round. 
Those with multiple attacks may also have multiple attacks of the 
same type (for example, a ghoul has four bite attacks).

A  character  may  initiate  as  many  attacks  as  they  have 
fist  or  weapon  attacks,  plus  one  more.  This ",You are a helpful AI assistant.
"If more than one combatants want to attack, who has the right to attack first?","The combatant with the highest DEX. In case of draw, the combatant with highest combat skill",6,"In combat, characters act in DEX order, highest to lowest. 

Characters  and  monsters  get  1  attack  per  round  by 
default. Some creatures have multiple attacks per round and some 
have only 1 attack per round but can choose to make multiple 
attacks with it. 

When  multiple  characters  want  to  attack  the  same  target 
with a firearm, a roll is made to determine who gets the first 
shot. The target chooses who they wish to shoot at. Those with 
a  readied  firearm  get  1  bonus  die  on  their  attack  roll.  If 
multiple characters draw for initiative with readied firearms, the 
character  with  the  highest  level  of  success  goes  first,  with 
the others following in DEX order as normal.

Characters  and  monsters  that  have  the  option  to  act 
decline  the  opportunity  to  do  so  if  no  interesting  actions 
can be made. The Keeper may ask players to declare their char-
acter’s intention to attack or to describe what their character is 
doing.  If  the ",You are a helpful AI assistant.
In which situation is a character allowed to escape a close combat?,The character must have no physical restrains and have an escape route,6,"A character is allowed to escape a melee attack (close combat) on a 
subsequent round if they successfully dodge or fight back. 

T  If the character dodges, they may do so on their normal 
Dodge skill of 25%. A successful dodge allows the character 
to avoid an attack and gain a fighting maneuver of their own 
on their next action.

T  If  the  character  fights  back,  they  may  do  so  using  a 
weapon or a basic fighting maneuver. The target of a fight-
ing maneuver may fight back using a basic fighting maneuver 
of their own. Both sides roll percentile dice and compare them 
to their Fighting skill. The higher skill wins, just like in a regular 
fighting attack. If the target is holding a weapon, this may be 
used to fight back, or a basic Fighting skill can be used. A char-
acter can use a weapon to fight back through the fighting maneuver 
as they can when dodging a melee attack (see Fighting Maneuvers, 
Fighting Back, page 103).

T  If  the  attacker  achieves  an  Extreme  level  of  success  in 
the maneuver, any armor worn by the target",You are a helpful AI assistant.
How is a firearm attack resolved?,A firearm attack is resolved with a 1D100 roll and compare the result with the Firearm skill of the attacking character. The difficulty level of the roll is determined by the range and other factors,6,"In  a  fight  scene,  when  a  character  declares  that  he  or  she 
is firing a gun, the player makes a skill roll using the Firearms 
skill. The Firearms skill represents the user’s ability with anti-per-
sonnel and light weapons, and is not used for heavy weapons; 
those fall under the Heavy Weapons skill (see Heavy Weapons, 
page  119).  There  are  two  main  divisions  within  the  Fire-
arms skill: Heavy and Shotgun (for shotguns, see page 112).

Opposing skill/Difficulty level: 
When  attacking  a  target  that  is  dodging  or  fighting  back, 
use the opponent’s Fighting or Dodge skill to set the difficulty 
level. If the target is not fighting back, no adjustment is needed. 

T  If  the  target  is  at  a  significant  disadvantage  (e.g.  has 
a  weakened  hand  or  is  being  restrained  by  another 
character), 1 penalty die is applied.

T  A  target  that  is  fighting  back  or  dodging  rolls  their 
F",You are a helpful AI assistant.
How does a character recover from a major wound when the Major Wound box is checked?,"The players performs a CON roll. If it is successful, 1D3 hit points are recovered. In case of Extreme success, 2D3 hit points are recovered.",6,"In Call of Cthulhu, when a character takes a Major Wound they must make a CON roll at the end of each 
week of game time that the Major Wound box is ticked until the Major Wound box is unticked. 

A Major Wound is only healed when the character’s current hit points fall below a multiple of 10 (i.e. 0, –10, 
–20, etc.) and, in that moment, the Major Wound box is unticked by the Keeper. The character does not make a CON 
roll to recover from a Major Wound if their current hit points fall to 0 or below, as they are unconscious and thus unable 
to act. A character cannot die as a result of a Major Wound if their current hit points are already at 0; the Major Wound 
will leave them unconscious but alive. 

Note:  The  Major  Wound  box  will  only  be  ticked  by  the 
Keeper;  a  Low  Hit  Point  tracker  will  never  contain  a  tick. 

Regular Damage: Less than the character’s maximum hit 
points in a single attack.

A  character  takes  regular ",You are a helpful AI assistant.
Can you provide a short description of how a Chase takes place?,"A chase take place when the participants have an escape route. The Keeper positions the participants, decided the order of play and how many movements each participant can make in each turn. At the beginning each participant makes a CON roll to adjust their MOV rating. Then, at each round of the chase the participants act in DEX order, and move a number of locations based on their MOV rating. In some cases attacks can also be performed. The Keeper can add hazards and barriers to the chase as well.",7,"In a chase, the fleeing character (the quarry) attempts to lose their pursuer (the pursuer). 

1.  The  fleeing  character  declares  their  intended  direction  of 
escape. All other characters then declare whether they are speeding 
to help the quarry escape (assisting the fleeing character) or 
pursue the fleeing character.

2.  The  fleeing  character  makes  a  skill  roll  to  determine  if 
they are caught. The pursuer makes a skill roll to catch up. Both 
sides  roll  against  their  own  skill  (or  characteristic),  and  the 
Keeper compares the two rolls to determine if the pursuer has 
caught up with the fleeing character. 

3.  If  the  pursuer  is  faster,  they  gain  1  movement  action 
for each location by which they are ahead. If the pursuer is not 
faster, the chase is at its most intense and the Keeper may choose 
to increase the level of difficulty of the skill rolls made by both 
sides. 

4.  When  a  pursuer  closes  the  gap  to  within  ",You are a helpful AI assistant.
What is a speed roll used for during a chase?,It is used to adjust the participant MOV rating for the whole duration of the chase,7,"In a chase, a speed roll is used to determine the order of movement. All participants in the chase make a skill roll: CON (for characters) or Drive Auto (for vehicles). Those that roll an Extreme, Hard, or Regular success are allowed to move normally. Those that fail to achieve a level of success are not allowed to move until their next action. 

Those that roll a Extreme level of success move twice. 

Order of movement is determined by the highest to lowest speed. 

Note:  Some  creatures  have  a  speed  that  is  not  a  listed 
value; in these cases use the creature’s MOV rating as a guide.

Cut to the Chase

Rather than spending time calculating each character’s movement 
rate  and  writing  a  detailed  description  of  each  location,  just 
use dots to represent the characters and mark their progress on a 
sketch of the chase location. 

Split up or stay together?
Characters  in  a  chase  can  be  either  bunched  together  or 
scattered  across  the  location.  A  group  of  characters  that  is 
bunched  together  is  more  likely  to",You are a helpful AI assistant.
How many movements can a chase participant take per round?,"Each participant can take one movement action per round, plus the difference between his movement rating and the movement rating of the slowest chase participant",7,"In a chase, each participant (pursuer or fleeing character) gets one movement action by default. 

Harvey is fleeing from two pursuers, Rodger and Henry. Rodger has 1 movement action and Henry has 2 (he is moving at Hard difficulty level, see 
Speed, page 138). Harvey has 4 movement actions (2 for his own MOV and 2 more because he is being pursued, see Cut to the Chase, page 
133). 

A  chase  takes  place  in  the  streets  of  London.  The  Keeper  picks  a  starting  point  and  then  decides  on  the  route  the  chase 
will  take.  The  Keeper  plots  the  route  on  a  sheet  of  graph  paper  using  a  dot  to  represent  each  location.  A  location  is 
any  point  in  the  story  that  requires  a  character  to  move  from  one  location  to  the  next,  such  as  a  room,  a  staircase,  a 
corridor, a street, and so on. 

The",You are a helpful AI assistant.
What methods can the Keeper use to create obstacles and hazards during a chase?,"The Keeper can decide using his own imagination, or do that randomly using a 1D100 roll.",7,"The Keeper should create hazards and barriers on the fly as the chase unfolds. 

1.  Barriers:  These  block  progress  for  1D6  movement  ac-
tions. Examples include: a locked door; a high fence; a river.
2.  Hazards:  These  cause  delay  and  do  not  block  progress. 
Examples include: climbing over a 4-foot fence; running to 
the top of a flight of stairs; wading through a stream.

G  A clear, obstacle-free distance of 10 meters (33 yards) 
or less will always allow for a DEX order in the DEX 
order of combat.

G  If a character has a speed greater than their opponent’s 
speed,  they  can  move  through  the  DEX  order  more 
than once, for each point by which their speed exceeds 
their  opponent’s.  They  may  attack  or  cast  spells  as 
they move through the DEX order.

G  A character can delay their action until after everyone 
else has acted in the DEX order. If they do this they 
must  act  on  their  next ",You are a helpful AI assistant.
How are vehicle damages computed after a collision?,By rolling a 1D6 to compute build damage. A delay of the vehicle can also be computed costing a 1D3 movement action,7,"In  most  cases,  damage  to  a  vehicle  is  summarized  as  an 
amount of build that has been lost, or a specific part of the vehi-
cle is no longer operational. The Keeper should be specific as to 
what has been damaged and whether the vehicle is still operational. 
A  passenger  vehicle  has  a  build  of  1.  Most  vehicles  are  not 
equipped with armor plating and so do not have any additional 
armor points. A car might have a few hidden pitfalls or hazards, 
such as a loose rock or oil slick, that could cause an accident, but 
these are not typically anticipated and so do not require a Luck 
roll.

A  vehicle  can  travel  up  to  its  full  MOV  in  one  movement 
action if all hazards are negotiated at Regular difficulty level. If 
one  or  more  hazards  are  encountered,  or  if  one  or  more 
Luck rolls are required, the vehicle will make one or more move-
ment actions. A vehicle that makes a number of movement ac-
tions equal to its build is involved in a chase scene. If a",You are a helpful AI assistant.
What state of insanity exist in the game?,"There are three states of insanity: temporary, indefinite and permanent.",8,"In the Call of Cthulhu game, there are four states of insanity. 

Firstly, there is temporary insanity, also known as ""bout of 
madness"". This lasts 1D10 hours. 

Secondly, there is a 24-hour temporary insanity. This is 
triggered when an investigator loses 5 or more Sanity points as 
a result of a single Sanity roll. 

Thirdly, there is indefinite insanity, also known as ""permanent 
madness"". This occurs when an investigator loses as much as or 
more than a characteristically maximum Sanity score in one game 
day, or when an investigator’s Sanity points fall to zero or below. 
Indefinite insanity lasts until the investigator is cured or recovers 
(see Recovery from Indefinite Insanity, page 162).

Fourthly, there is permanent insanity, which results when an 
investigator loses all Sanity points (in which case the game for that 
investigator is effectively over).

It is worth noting that the effects of temporary and indefinite 
insanity are the same: the player takes no control of the investi-
gator for the duration of the bout of madness. The difference is 
that temporary insanity lasts for 1D10 hours, whereas",You are a helpful AI assistant.
How many Sanity points must an investigator loose to become temporary insane?,Five or more,8,"An investigator must lose 5 or more Sanity points without any 
other Sanity rolls being made (consecutively, not in a single 
roll) to become temporarily insane.  An investigator that has 
lost 5 or more Sanity points as a result of a single Sanity roll 
is  permanently  insane.  Note  that  the  loss  of  1D10  Sanity 
points or more in one day also leads to permanent insanity.

While  the  investigator  is  temporarily  insane  (which  is 
each hour that the investigator is insane), the player must make 
an Intelligence roll at the end of each hour of game time. If the 
player fails the roll, the investigator remains insane for another 
hour.  If  the  player  succeeds  in  the  Intelligence  roll,  the 
investigator is no longer insane and the player can make a San-
ity roll to see if their investigator loses additional Sanity points as 
a result of their bout of madness. 

Note: The player cannot be given the option to make a San-
ity  roll  to  see  if  their  investigator  has  gone  temporarily  or 
permanently insane as a result of a bout",You are a helpful AI assistant.
How is it decided how many hours temporary insanity lasts?,By rolling a 1D10. The results of the roll provides the number of hours of insanity,8,"In Call of Cthulhu,  the  duration  of  temporary  insanity  is 
determined  by  rolling  on  Table  VIII:  Duration  of  Insanity, 
with  the  Keeper  choosing  either  ""hours""  or  ""days""  as  the 
unit of time, depending on the circumstances of the bout of 
madness. 

If  hours  are  chosen,  the  Keeper  should  have  an  idea 
of  how  time  passes  during  the  bout  of  madness.  If  days 
are chosen, the Keeper should have a good idea of how long 
the bout of madness will last. 

If  the  Keeper  knows  that  the  bout  of  madness  will  be 
limited to a short period, such as until the character is out of 
sight of the thing they are trying to flee from, then the bout of 
madness should be set to only a few hours or rounds. If the 
Keeper  knows  that  the  character  will  be  out  of  commission 
for  a  day  or  more,  then  the  bout",You are a helpful AI assistant.
What is the best way to recover from Indefinite Insanity?,The best way to recover is through private care or home care,8,"In Call of Cthulhu,  indefinite  insanity  is  a  potentially  dire  con-
dition for an investigator, and getting an investigator back on his or 
her feet can take time. 

Recovery from indefinite insanity requires a Sanity roll. An in-
vestigator  recovers  from  indefinite  insanity  when  he  or  she  is 
found to have fully returned to their senses and their behavior is 
no longer disordered. This takes 1D10 days. During this time 
the player must make a Sanity roll at the end of each week of in-
definite insanity. If the Sanity roll is failed, the investigator falls 
back into a state of madness and the process starts over. If the 
Sanity  roll  is  successful,  the  investigator  has  recovered  and 
returns to the game as normal.

Alternatively,  at  the  Keeper’s  discretion,  recovery  can  be 
accelerated  if  the  investigator  is  successfully  treated  by  a  doc-
tor.  This  may  be  especially  true  in  a  hospital  or  sanitarium.  The 
Keeper may lower the Sanity",You are a helpful AI assistant.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,One,9,"When  an  investigator  completes  a  full  study  of  a  tome,  the 
reader gains a bonus die when using the Cthulhu Mythos skill 
to access and understand the information in that book. The 
number  of  bonus  dice  is  equal  to  the  book’s  Cthulhu 
Mythos Rating divided by 10, rounded down. This applies 
regardless of whether the investigator is learning the book’s 
secrets for the first time or revisiting them. 

Note that some tomes have a Cthulhu Mythos Rating of 
0,  in  which  case  the  Cthulhu  Mythos  skill  gain  is  0  and 
the investigator does not gain any Cthulhu Mythos skill points 
for a reading. 

The reader must spend time with the book—there is no set 
time,  but  a  minimum  of  one  month  is  recommended.  The 
reader  must  also  make  a  study  roll  using  the  Cthulhu 
Mythos skill. A success indicates that the investigator has fully 
absorbed",You are a helpful AI assistant.
How can a character learn a spell?,"There are three main ways to learn a spell: from a Mythos book, from another player, or from a Mythos entity",9,"In  the  game,  learning  a  spell  is  a  variable  and  poten-
tially hazardous process. Spells are not something to be picked 
up quickly, and usually require dedication and attention from 
the caster. A player seeks to know the cost and effect of a spell, 
including the magic points, Sanity points, and Sanity loss, as 
well as any other relevant information.

There are three methods of learning a spell.

G  From a book.

G  From another person (by direct contact).

G  From a Mythos entity.

Learning a Spell from a Book
A  book  of  spells  is  a  Mythos  tome.  Each  tome  is  dif-
ferent, with a unique set of spells and information. The user 
of a tome must spend time reading it, usually 2D6 weeks, 
and  the  book  must  be  open  and  the  reader  fully  focused 
upon it. While the investigator is learning a spell from a book, 
the  book  may  be  referenced  for  other  spells  or  information 
thereafter without additional time being required. 

The  player  should ",You are a helpful AI assistant.
