question,answer,chapter,generated_answer,system_prompt
What is the hypnosis skill?,"It is the ability to induce another person in a trancelike state, which allows the person to relax and recall memories that were forgotten. The limits of the skill during the game are decided by the Keeper, for example if the player is able to use the skill on an unwilling target.",4,Hypnosis skill: 70%,You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,The Keeper,5,The Keeper,You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,"The goal of the player are achieved as it would have been with the original role, without further consequences",5,The consequences of a successful Pushed Roll are unpredictable and can be dire.,You are a helpful AI assistant.
What happens when a player must use more than one skill?,"The Keeper decides if the player must roll a dice for each skill, or roll the dice only once. In the latter case, player makes only one dice roll and then applies the result to each of the skills",5,The difficulty level is raised,You are a helpful AI assistant.
What are the optional rules of the game system?,There are two optional rules: Spending Luck and Recovering Luck Points,5,The game has two optional rules: the 'Roll for Luck' rule and the 'Roll for Sanity' rule.,You are a helpful AI assistant.
What is a Combat Round?,It is a unit of time in which each player can perform at least one action during combat.,6,A Combat Round is a period of time during which two or more actions may be performed by different characters.,You are a helpful AI assistant.
"If more than one combatants want to attack, who has the right to attack first?","The combatant with the highest DEX. In case of draw, the combatant with highest combat skill",6,The one with the lowest DEX.,You are a helpful AI assistant.
In which situation is a character allowed to escape a close combat?,The character must have no physical restrains and have an escape route,6,If the character is holding their breath or has a second action to make a DEX roll,You are a helpful AI assistant.
How is a firearm attack resolved?,A firearm attack is resolved with a 1D100 roll and compare the result with the Firearm skill of the attacking character. The difficulty level of the roll is determined by the range and other factors,6,A firearm attack is resolved by rolling 1D100 and comparing the result with the base chance for the weapon.,You are a helpful AI assistant.
How does a character recover from a major wound when the Major Wound box is checked?,"The players performs a CON roll. If it is successful, 1D3 hit points are recovered. In case of Extreme success, 2D3 hit points are recovered.",6,The character recovers 1D3 hit points,You are a helpful AI assistant.
Can you provide a short description of how a Chase takes place?,"A chase take place when the participants have an escape route. The Keeper positions the participants, decided the order of play and how many movements each participant can make in each turn. At the beginning each participant makes a CON roll to adjust their MOV rating. Then, at each round of the chase the participants act in DEX order, and move a number of locations based on their MOV rating. In some cases attacks can also be performed. The Keeper can add hazards and barriers to the chase as well.",7,A Chase takes place when a character is pursued by another character.,You are a helpful AI assistant.
What is a speed roll used for during a chase?,It is used to adjust the participant MOV rating for the whole duration of the chase,7,To determine if an investigator can move faster than their pursuer,You are a helpful AI assistant.
How many movements can a chase participant take per round?,"Each participant can take one movement action per round, plus the difference between his movement rating and the movement rating of the slowest chase participant",7,One movement per round.,You are a helpful AI assistant.
What methods can the Keeper use to create obstacles and hazards during a chase?,"The Keeper can decide using his own imagination, or do that randomly using a 1D100 roll.",7,"The Keeper can use the following methods to create obstacles and hazards during a chase:

* Randomized locations (e.g. 'Look out for a car turning the corner')
* Locations that are likely to be encountered (e.g. 'You are heading down the main street when you see a shop')
* Locations that are likely to be avoided (e.g. 'You are heading down the alleyway when you see a police car')",You are a helpful AI assistant.
How are vehicle damages computed after a collision?,By rolling a 1D6 to compute build damage. A delay of the vehicle can also be computed costing a 1D3 movement action,7,"Roll damage for each point of damage above 1D10, deducting 1 point of damage for each point of damage above 5",You are a helpful AI assistant.
What state of insanity exist in the game?,"There are three states of insanity: temporary, indefinite and permanent.",8,There is no state of insanity in the game.,You are a helpful AI assistant.
How many Sanity points must an investigator loose to become temporary insane?,Five or more,8,1D3 Sanity points,You are a helpful AI assistant.
How is it decided how many hours temporary insanity lasts?,By rolling a 1D10. The results of the roll provides the number of hours of insanity,8,The Keeper decides.,You are a helpful AI assistant.
What is the best way to recover from Indefinite Insanity?,The best way to recover is through private care or home care,8,"Best recovery is through a combination of rest, psychotherapy, and/or medication.",You are a helpful AI assistant.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,One,9,Two full study sessions,You are a helpful AI assistant.
How can a character learn a spell?,"There are three main ways to learn a spell: from a Mythos book, from another player, or from a Mythos entity",9,"A character can learn a spell by studying a book containing the spell, by gaining the spell from a non-player character, or by discovering it in a spell tome.",You are a helpful AI assistant.
What type of roll must a player do to cast a spell?,A Hard POW roll,9,An opposed POW roll,You are a helpful AI assistant.
What happens when a spell casting roll fails?,"The caster must pay Magic points, Sanity Points and/or POW, multiplied by 1D6",9,The spell fails and the caster must make a Sanity roll.,You are a helpful AI assistant.
What information is advised that the Keeper gives to the players before they create their investigators?,"The date and location of the player scenario, a basic description of the beginning of the scenario, professions suitable for the scenario, and suggestions on how the investigator know each other",10,The Keeper advises the players to create investigators that fit the story.,You are a helpful AI assistant.
What are NPCs?,NPCs are Non-player characters that are controlled by the Keeper,10,Non-player characters,You are a helpful AI assistant.
What is an Idea Roll?,"It is a roll that allows players to get a clue, and that decides how they get this clue",10,An Idea Roll is a dice roll used to generate an idea.,You are a helpful AI assistant.
What are the Mythos Tomes,"They are books of arcane wisdom, secret and magic",11,The Mythos Tomes are a series of books that contain the collective knowledge of the Cthulhu Mythos.,You are a helpful AI assistant.
What is the Mythos rating of the Celaeno Fragments?,27,11,32,You are a helpful AI assistant.
When was the Key of Solomon written?,In the 14th century AD,11,c. 800,You are a helpful AI assistant.
What are the main spell classes?,"Dismiss Spells, Contact Spells and Enchantment Spells",12,"Spells are divided into three main categories: Grimoire, Grimoire, and Occult.",You are a helpful AI assistant.
How long does a Banishment of Yde Etad spell last at minimum?,1 hour,12,1D10 rounds,You are a helpful AI assistant.
What is the cost of a Bless Blade?,5 POW and 1D4 sanity points,12,"$1,000",You are a helpful AI assistant.
Which spell can a cultist use to get in touch with alien races?,The Contact Spell,12,The spell Contact Deity.,You are a helpful AI assistant.
Who uses Carotid Toxin?,Serpent people,13,The Deep Ones,You are a helpful AI assistant.
What is a Temporal Communicator?,It is an artifact that allows Yithians to communicate with entities that have contacted the artifact in time and space,13,A device that allows for communication with the past or future.,You are a helpful AI assistant.
What characteristics are typically possessed by monsters and beasts?,"STR, CON, SIZ, POW, INT, DEX",14,"They are often associated with evil, destructive, and deadly qualities.",You are a helpful AI assistant.
What is the range of build value for a human?,From -2 to +2,14,8,You are a helpful AI assistant.
What is a Crawling One composed of?,Worms,14,"A mass of writhing, pulsating flesh",You are a helpful AI assistant.
What is the average STR of the Elder Thing?,190,14,100,You are a helpful AI assistant.
When do Clayton and Harris run into the forest in the 'Amidst the Ancient Trees' scenario?,On June 19th 1925,15,"They run into the forest in the late afternoon, around 4 o'clock.",You are a helpful AI assistant.
