question,generated_answer
What is the hypnosis skill?,"The Hypnosis skill in roleplaying games is typically used to 
gauge the success or failure of an attempt to hypnotize or sug-
gest to an individual, whether it be to influence a non-player 
character in the game or to keep an investigator under control. 
It is up to the player whether an investigator is aware of being 
hypnotized or not. If the player is unaware, the investigator 
may act out of character, allowing the player to take control 
for a while. This can be a dramatic way to shift control to the 
Keeper for a short time. The player regains control when he or 
she either wakes up or when prompted to do so by the Keeper. 
Amnesia  and  insanity  can  cause  an  investigator  to  lose  all 
memory of the skill Hypnosis, as well as of everything else.

Opposing skill/Difficulty level: 
There is no Hypnosis skill, this is a skill that is used to set the 
difficulty level for Hypnosis rolls. As with all Intimidate, Per-
suade and Charm skills, the difficulty level of a Hypnosis roll 
is never beyond the character’s skill level. 

i  Regular  difficulty:  standard  hyp"
Who decides the difficulty level of a skill roll?,"The Keeper sets the difficulty level of a skill roll. 

The player declares their intention and then the Keeper decides 
whether the difficulty level should be Regular, Hard, or Extreme. 
The Keeper should not allow a player to dictate the difficulty 
level of a skill roll. 

The Keeper should consider the difficulty level in relation to 
the story and the current situation in the game. If the player is 
attempting to use a skill to achieve something that is easily 
possible according to the skill’s description, then the difficulty 
level should be Regular. If the request is for something just aboVe 
the skill’s level of achievement then the difficulty level should 
be Hard. If the request is for something that exceeds the skill’s 
level of achievement, even for an expert, then the difficulty 
level should be Extreme. 

If the Keeper feels that it should be impossible for a char-
acter to achieve something, he or she should block the attempt 
rather than setting a difficulty level of Extreme. 

The skill level of the opposing character is not always as 
indicated by the skill percentage. When an investigator is op-
posing someone with an occupation skill, the Keeper should 
use the opponent’s skill in a different way. The Keeper should 
d"
What are the consequences of a successful Pushed Roll?,"When  a  skill  roll  is  pushed,  the  consequence  of  failure  is 
always  negative.  The  negative  consequence  of  a  pushed  roll 
should  be  significant  to  the  game;  an  investigator  is  normally 
only  pushed  to  make  a  roll  if  the  Keeper  thinks  the  outcome 
is  unlikely;  therefore  the  consequence  of  failure  should  be 
more  than  mere  failure—the  Keeper  should  aim  to  create  a 
more dramatic outcome for the player. 

When a player wins a pushed roll, no additional consequence 
of failure is applied and the Keeper should reward the success as 
usual.

When an investigator fails a pushed roll, the Keeper should 
always consider the following options:

G  Increase the danger or difficulty level of the situation for 

the investigator (perhaps other investigators can offer no 

help).

G  Inflict physical harm: the Keeper should determine some 
form of  damage  (see  Table  XVII:  Weapons,  page 
401-405, or 1D3 to 2D6 damage, page 122"
What happens when a player must use more than one skill?,"When  a  player  is  required  to  use  more  than  one  skill  to 
complete  a  task,  the  Keeper  should  ask  for  a  roll  for  each 
required skill. The difficulty level for each skill roll is determined 
individually. The Keeper starts by setting the difficulty level for 
each of the skill rolls, and then uses the higher of the two dif-
ficulty levels for the challenge roll.

When the skill levels are opposed, the Keeper will set two dif-
ficulty levels: one for each of the opposing skill rolls. Whichever 
difficulty level is higher will be used for the opposed roll.

An  investigator  is  attempting  to  pick  a  lock  and  at  the 
same time keep watch out for any lurking enemies. The player 
rolls  14  for  Locksmith,  a  Regular  success.  She  rolls  12 
for Spot Hidden, a Regular success. Since neither roll was a 
Hard  or  Extreme  success,  the  difficulty  level  for  both  was 
Regular, so the challenge was not difficult and she has not lost 
any points. The player"
What are the optional rules of the game system?,"I'm not actually a game moderator, and I don't know the specific game system you are referring to. I can tell you about some common optional rules found in some 
mainstream games, but this will depend on the game you are playing. 

Cash and Assets:  The  standard  rules  are  usually  sufficient. 
However, if you wish to incorporate more complexity, you might 
consider allowing the players to spend their cash however they 
like (within reason), and record the remaining amount. This is 
how they wish to allocate their funds. 

Movement Rate:  The  standard  rules  use  a  movement  rate 
of  8  movement  actions.  Some  characters,  such  as  vehicles, 
have  a  movement  rate  that  is  a  multiple  of  the  average 
human. These characters are capable of actions that normal 
humans could not achieve. 

Vehicular Collisions: When a vehicle suffers a major 
wound (an amount of damage equal to or greater than half 
the  vehicle’s  build),  it  is  involved  in  an  accident  or 
collision. This may cause loss of control, a wheel"
What is a Combat Round?,"In a tabletop roleplaying game, a combat round is a specific period 
of game time during which each participant gets a chance to act. 
It is a discrete unit of time, usually one second, in which one 
character performs some form of action. 

A combat round is over when everyone who wishes to act in 
the next round has had their turn. The combat round is usually 
initiated with a ""combat round marker"" or ""initiative marker"", 
a  token  or  marker  that  is  moved  around  the  combat  to 
indicate which player is acting at any given time. Some groups 
use a timer or a number of dice rolls to determine the length 
of each combat round.

Characters  and  monsters  get  a  number  of  actions  in 
each combat round. An action is a significant event such as at-
tacking, casting a spell, running from the room, picking a lock, 
etc. Some creatures are capable of more actions in a single round 
than others. Some creatures, such as those that fly, get an addi-
tional number of actions per round for each point they are above 
their usual DEX order. 

A  character "
"If more than one combatants want to attack, who has the right to attack first?","In a melee combat, where more than one character wishes to attack, the initiative order is determined in the following manner.

Characters act in DEX order, highest to lowest. If characters are 
draw then the one with the highest STR has priority.

Read  through  all  the  intentions  for  combat  on  both  sides. 
Determine who is going first and how many actions they get.

Allow each character on both sides of the conflict a chance to 
declare what actions they intend to make. 

Allow each character with a declared action to make a skill roll 
or  a  damage  roll.  Resolve  each  skill  roll  and  damage  roll. 
Allow each character with a declared action to make a skill roll 
or a damage roll. 

Once all characters with declared actions have made their moves, 
allow those with firearms to make a fire shot (see Firearms, Multiple 
Shots page 113).

Once all characters with declared actions have made their moves 
and any firearms have been used, allow those with declared actions 
to make a melee attack.

Allow those with declared actions the opportunity to dodge, dive 
for cover, or perform a fighting maneuver (see page 106).

Allow those with declared actions"
In which situation is a character allowed to escape a close combat?,"A character can break free from a grapple or other form of 
restraint or close combat on their turn in the DEX order, 
provided they win a opposed STR vs. STR roll. If the character 
being held uses an attack (of any kind) on their attacker, this 
will  automatically  break  the  hold  or  restraints  on  them,  but 
they will still be in the same location. If they achieve a greater 
level of success in the opposed roll than their attacker, they are 
free and their attacker is held. If both fail, the hold or restraints 
remains in place.

A character can also break out of restraints or a hold on their 
turn  in  the  DEX  order  by  using  an  appropriate  Fighting, 
Brawl or Maneuver skill. The use of firearms requires a skill 
roll and is at the Keeper’s discretion.

A  character  is  physically  able  to  do  something  to  break 
free, such as lifting their own body weight or that of their op-
ponent. The use of tools, such as bolt cutters or an angle-grinder 
to cut through restraints, may take"
How is a firearm attack resolved?,"In most cases, resolving a firearm attack using the standard combat 
rules is all that is required. The attacker declares the type of fire 
they are using (e.g. full auto, single shot, burst, etc.) on their 
attack  declaration  and  states  the  number  of  bullets  they  are 
shooting before rolling the dice. The number of bullets fired is the 
number  of  7.62mm  rounds  fired  from  a  AKM/M16,  for  ex-
ample,  but  would  be  four .30-06  rounds  when  firing  a  bolt-
action rifle or five.45-70 Government rounds when firing a lever-
action rifle. 

T  If  the  attacker  achieves  a  higher  level  of  success  than 
the  target’s  DEX,  the  number  of  bullets  fired  is  reduced 
by one. If this would reduce the number of bullets to one, it 
is reduced to one (a roll of 1 will still be made, but there will 
only be one bullet to fire).

T  If the attacker achieves a level of success equal to or"
How does a character recover from a major wound when the Major Wound box is checked?,"In Call of Cthulhu, when a character receives a Major Wound, 
the character immediately falls prone and loses hit points equal to 
the number of points of damage inflicted by the attack. The 
character’s  condition  is  checked  immediately  after  a  Major 
Wound  and  again  at  the  end  of  the  round  (if  fighting 
hand-to-hand), or when they take their next damage roll (if 
not fighting hand-to-hand). 

If  the  character’s  Luck  is  not  spent  to  stabilize  them, 
they die. Alternatively, if the character falls unconscious and 
no one performs First Aid on them, they will die and must 
be  buried  or  cremated  (by  their  friends,  perhaps,  or  the 
Keeper). A dying character is not in control of their actions, 
and whether they live or die is in the hands of their players. 

A  character  is  stable  when  recovering  from  a  Major 
Wound.  No  dice  rolls  are  required  for  the  recovery  of 
stabilized  patients.  Stabil"
Can you provide a short description of how a Chase takes place?,"A  chase  in  your  story  or  game  will  probably  involve  a  mix-
ture of characters, some on foot and others in vehicles. The 
characters in the chase are divided into two groups: those that 
are trying to catch the others (the pursuers) and those that are 
trying to escape (the fleeing characters). 

The Keeper starts by ranking all the characters in the chase 
in order of their MOV, from slowest to fastest. The order may 
change as characters lose or gain locations during the chase. 

A chase takes place in rounds, with each participant getting 
a turn in the order of their rank. A character’s turn ends when 
they have acted, not when the other characters have finished. 
There is no pause in the action for discussion or for the Keeper 
to  decide  what  happens  when  another  character  acts.  The 
action is fast moving and fluid, with each character’s action 
triggering the next.

A combat round is over when the person who initiated the 
last attack has finished fighting back. Note that some characters 
may have more than one attack, such as a character with a 
gun in each hand, or a monster with multiple"
What is a speed roll used for during a chase?,"In a chase, a speed roll is used to establish the order of movement. 
All participants make a skill roll: CON (for human characters) or 
the appropriate characteristic (for monsters and non-player charac-
ters); the one with the highest roll goes first, and so on. If there 
is a tie, the side with the higher DEX goes first. If still a tie, the 
sides re-roll, each rolling a penalty die. If there is still a tie after 
this, the characters/monsters can be said to have converged on the 
same location, and should be developed into different characters or 
some should be given a penalty die to determine the order.

Once the order of movement has been determined, each char-
acter/monster gets a turn to act. On his or her turn, a character 
may  move  and  then  perform  1  melee  attack  or  1  ranged 
attack, or perform a fighting maneuver. Certain monsters, such 
as those with multiple attacks listed, are able to make multiple 
attacks in one round. Note that some monsters and characters 
may have abilities that allow them to make an additional attack 
as a bonus action (see page 108).

"
How many movements can a chase participant take per round?,"In a chase, each participant gets a number of movement actions equal to their MOV rating. Characters with the same MOV rating get the same number of movement actions, but do not act in the same round unless they wish to, as faster characters will act first. 

In the 7th Edition rules, a character can spend 1 movement action to move 1 location. Thus, a character with MOV 8 can move a maximum of 8 locations in 1 round. 

A character can also use a number of movement actions equal to their MOV rating to fight back or perform a fighting maneuver. 

A character can move a number of locations equal to their MOV rating minus the number of movement actions they use for fighting maneuvers or fighting back. 

Thus, if an investigator has MOV 8 and uses 3 movement actions to fight back, he or she may move back 5 locations (8-3 = 5). 

If an investigator has no movement actions left, he or she may still be able to fight back on their current location. 

G  If  the  attacker  moves  into  melee  combat,  they 
initiate a fighting maneuver and resolve it as for any 
other fighting maneuver. If the maneuver is successful, 
the"
What methods can the Keeper use to create obstacles and hazards during a chase?,"As Keeper, you have a range of options available to you when creating obstacles and hazards during a chase. 

G  An  open  door  swing  open  and  throw  the  inves-
tigator out of the house. 

G  A  locked  door  may  slow  an  investigator  down  for  a 
brief moment, but it will not stop a determined attacker. 

G  A  window  that  can  be  broken  with  one  successful 

Brawl roll.

G  A fence that can be climbed with one successful Climb roll.

G  A  locked  car  door  that  can  be  opened  with  one 
successful Locksmith or Mechanical Repair roll.

G  A  high  fence  that  cannot  be  climbed  without  the 
use of tools or specialized equipment.

G  A  door  that  is  locked  with  specialized  security 

locks.

G  A  window  that  is  barred  or  made  of  shatterproof 
material.

G  A  locked  filing  cabinet  or  strongbox.  The  difficulty 
level may be increased if the lock is high security"
How are vehicle damages computed after a collision?,"In  most  cases,  damage  to  a  vehicle  is  figured  using  1D10 
plus  the  driver’s  skill  (Drive  Auto,  Ride,  Pilot,  or  as  the 
Keeper  sees  fit).  The  Keeper  should  figure  the  damage  as 
though  to  a  barrier  (see  Striking  through  Barriers,  page 
147), substituting vehicle build for the attacker’s build. The 
result  is  the  number  of  points  of  damage  the  vehicle 
inflicts. 

A  vehicle  is  treated  as  a  barrier  that  can  be  broken 
through by another vehicle. The Keeper should decide on a 
level of difficulty for the maneuver, based on the build of the 
vehicles involved. If the opponent’s build is 3 or more points 
above that of the attacking vehicle, the maneuver is impossible. 

The  Keeper  should  decide  whether  a  maneuver  can 
be made against a vehicle that is larger than the attacker. The 
opponent may be able to absorb some impact, but is more 
likely to"
What state of insanity exist in the game?,"In the game of Call of Cthulhu, an investigator can go insane, 
and when he or she does so they experience a bout of madness. 
A bout of madness lasts for 1D10 combat rounds (real time) 
and then ends. While experiencing a bout of madness, the player 
of the investigator has no control over the investigator’s actions. 
The Keeper decides what happens during the bout of madness, 
whether it is delusional activity or actual physical action, and 
may even allow the investigator to act in a way that might nor-
mally result in sanity loss or other negative consequences. 

There is no physical attack that can cause harm during a 
bout of madness, although the investigator may still die as a re-
sult of a physical attack. The investigator does not suffer further 
sanity loss during a bout of madness, nor can the Sanity roll 
be pushed.

Bouts of madness can take one of two forms: either the in-
vestigator’s mind is disconnected from their body, or their mind 
is fully in control of their body but is perceiving its surroundings 
in a disordered way.

First, the investigator’s mind is disconnected from their body: 
the investigator falls unconscious and their body"
How many Sanity points must an investigator loose to become temporary insane?,"An investigator must lose 5 or more Sanity points in a single day, or a total of 1D10 Sanity points in a few days, to become temporarily insane. If the Sanity loss is from a single Sanity roll, then the investigator becomes temporarily insane if the roll is equal to or greater than the investigator's current Sanity points. 

Note:  The  investigator  is  not  required  to  make  a  Sanity 
roll for every Mythos-related event; only significant events, as 
determined by the Keeper, require a Sanity roll.

The effects of temporary insanity last for 1D10 hours.

Alternatively,  an  investigator  might  go  temporarily  insane 
as the direct result of a Sanity roll; this is up to the Keeper to 
determine. The Keeper may call for a Sanity roll when an in-
vestigator is exposed to some horrific event, situation or sight. 
If  the  roll  fails,  the  investigator  goes  temporarily  insane. 
Equally, if an investigator loses all their Sanity points (a state 
known as ""mythos insanity""), they become temporarily insane, 
losing all knowledge of the real world and becoming unaware of 
their own identity. Everything known"
How is it decided how many hours temporary insanity lasts?,"In Call of Cthulhu, the duration of temporary insanity is deter-
mined randomly by rolling on Table VIII-1: Bouts of Madness—
Summary (see page  239).  Each  bout  of  madness  has  a  de-
gree of intensity that determines how long the bout of madness 
lasts. 

Alternatively,  the  Keeper  may  choose  to  use  the  optional 
""Monsters, Mania and Insanity"" rules (see page 154). 

157 

chapter 8: sanitychapter 9: magicMagic
A pervading sense of unease and fear came from the crenelated 
walls of the edifice…Something was wrong, something was 
wrong in the angles, the curves, the very lines of the place. 
It was not natural. Anything not natural was evil.

—August Derleth, The Dweller in Darkness

In  the  world  of  the  Cthulhu  Mythos,  magic  is  a  manip-
ulation  of  the  universe  and  everything"
What is the best way to recover from Indefinite Insanity?,"Recovery from indefinite insanity can take a long time, and is different for each investigator. 

First, the investigator's background is checked for any entries under the ""In-
sanity"" section. Any such entries are erased. Then the player makes a Sanity 
roll, and if the roll is successful, the investigator recovers 1D10 Sanity points. 
This is followed by an Intelligence roll. If the Intelligence roll is successful, the 
investigator  has  fully  recovered  and  any  delusions  and  hallucinations 
come to an end. If the Intelligence roll is failed, the investigator has not re-
covered and one or more of the ""Phobia"" or ""Mania"" boxes should be ticked. 
The investigator is still insane and will require 1D10 days of treatment before 
a Sanity roll can be made to determine if recovery is possible. 

During  the  next  1D10  days,  the  investigator  will  visit  places  of 
solace and engage in their main hobby. If the investigator’s player can 
make a successful Sanity roll, the investigator has recovered. If not, the 
investigator has not recovered and the process of roleplaying the delu"
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,"When  an  investigator  completes  a  full  study  of  a  tome, 
they should gain a number of language skill ticks equal to the 
Cthulhu Mythos rating of the tome. This will up their Cthulhu 
Mythos knowledge and also increase their Cthulhu Mythos skill. 
No tick is given for a translation. 

A  hard  or  full  study  of  a  tome  is  not  required  to  ex-
tract  unusual  information  or  to  identify  a  particular  spell. 
Reading  a  tome  is  a  variable  rate  of  progress;  knowledgeable 
readers  will  read  quickly  and  less  knowledgeable  readers  will 
read slowly. 

A  person  well-versed  in  the  language  of  the  book  will  be 
familiar with the subject matter and can expect to learn more, but 
may not need to make a reading roll. A person who does not know 
the language can attempt to translate the book by making an initial 
Cthulhu Mythos roll, as mentioned earlier. Unless the book is in 
English"
How can a character learn a spell?,"In the world of roleplaying, learning a spell can be a 
various  and  unpredictable  affair.  Here  are  a  few  pos-
sibilities, depending on the scenario and story you are running. 
Remember that these are just suggestions and that your group will 
develop its own traditions and preferences.

Learning a Spell from a Book
A  spell  is  to  be  found  in  a  book  that  is  at  least  1D6 
Mythos  Book  points  higher  than  the  caster’s  Cthulhu 
Mythos skill. The Keeper should adjust the study time accor-
dingly. A person can spend as much time as they want studying 
a book, but will get no Cthulhu Mythos skill increase unless 
they study for 1D6 weeks or more. 

Learning a Spell from Another Person
Sometimes  a  written  copy  of  a  spell  is  not  available,  or 
perhaps the caster wishes to learn the full nuances of a spell as 
cast by another. To learn a spell from another person, the same 
roll is made as for reading a book, using the"
What type of roll must a player do to cast a spell?,"In roleplaying games, to cast a spell the player must make a 
Sanity roll (if the spell costs Sanity points) and also a roll for 
the skill used by the spell. If the spell costs magic points it must 
also be paid for. Many spells have other requirements, such as 
the need for certain items or for the caster to have reached a 
certain location. Each spell has its own unique set of con-
ditions that must be met before it can be cast successfully.

The player should be given enough information about the 
spell to determine if the caster is in a suitable location, has 
the required items and has overcome any other external cir-
cumstances that might prevent the spell from being cast. In 
general, the player should be blocked from casting a spell only 
as a result of an active opposition or as a result of some 
other event or action, such as running out of magic points 
or sanity.

The caster’s intention is important, and must be clearly 
stated.  The  caster  might  well  want  to  use  the  spell  of 
Create Zombie as a way of opening a door without breaking 
it down, or to get rid of a hostile intruder. The"
What happens when a spell casting roll fails?,"When  a  spell  casting  roll  is  pushed  and  failed,  the  caster 
must immediately pay the full Magic point and Sanity point cost of 
the spell. Nothing happens.

When a spell casting roll is failed on the first attempt, the caster 
may not re-roll the casting roll. A failed casting roll is a failed 
casting roll regardless of how high the skill or POW involved might 
be. The caster should always check the Sanity point cost and Magic 
point cost of the spell before casting it. If the Sanity point cost for 
a spell is 0, the caster cannot lose more Sanity points for failing the 
casting roll. If the Magic point cost is 0, the caster cannot lose more 
Magic points for failing the casting roll. 

If  the  caster  fails  the  pushed  casting  roll,  the  caster  may 
choose to continue the spell casting attempt on the following round 

and on subsequent rounds until the spell is successfully cast or cast-
ing is abandoned. The caster must spend Magic points and Sanity 
points in the cost of the spell on each attempt. The caster cannot 
push the casting of a spell.

Becoming a Believer

An investigator can become a believer"
What information is advised that the Keeper gives to the players before they create their investigators?,"When starting a game of Call of Cthulhu, it is advised that the Keeper provides the players with some background information on the period in which the game is set. This is usually done to encourage the players to 
keep their period setting knowledge in mind when generating their investigators. 

The players are encouraged to ask questions about the setting to the Keeper. The Keeper should try to give out as little information as possible, feeding the players just enough information to keep them interested and 
motivated. The players will pick up on what you are giving them verbally, so be sure to keep control of non-player characters and the world around the players’ investigators. 

When the players have decided on their investigators, the Keeper should take a close look through the investigator sheets, 
reading  what  each  player  has  written  about  their  investigator’s  backstory,  goals,  and  motivations.  The  Keeper 
should  also  note  down  any  other  important  information  that  the  player  has  written  down  on  the  investigator 
sheet or on a separate piece of paper for later reference. 

The  Keeper  should  also  read  the  scenario  through  again  and "
What are NPCs?,"NPC  stands  for  Non-Player  Character.  In  roleplaying 
games,  such  as  Dungeons  &  Dragons,  the  players  control 
their  investigator  characters,  while  the  Keeper  (usually  the 
person who is running the game) controls everyone else, known 
as non-player characters. Non-player characters can be anyone 
the players meet during the game—shopkeepers, cultists, mon-
sters, or even the police. 

You may also refer to the Investigators as “the investigators” 
and  non-player  characters  as  “NPCs”.  Think  of  “NPC”  as 
an abbreviation for “non-player character”. 

Using the Rules
The rules in this book are intended to be flexible enough to 
cope with all manner of games and scenarios, and to allow 
Keepers to run the game in a way that suits their personal 
preference.  The  rules  are  presented  in  a  logical  and  or-
derly fashion, attempting to group related items together in a 
rational manner. 

The rules are divided into a number of tomes, each con-
centrating on a particular aspect of the"
What is an Idea Roll?,"In roleplaying games, an Idea Roll is a dice roll used to determine the 
outcome of a player’s suggestion for how their investigator’s goal 
might be achieved. The roll is usually made using the Idea roll 
(50%) skill. 

An  Idea  Roll  is  used  to  test  whether  the  investigator’s 
improvised action is believable. If the roll is failed, some alter-
native  explanation  for  the  event  must  be  made.  An  Idea  Roll 
is different from a regular skill roll in that it is not opposed by 
an  opponent.  Instead  the  Keeper  will  determine  a  difficulty 
level for the roll. The skill used for Idea rolls is usually either In-
telligence or Charm, depending on the situation and the char-
acter’s motivation.

An  Idea  roll  is  most  commonly  used  in  combat  when 
the player describes an action for their investigator that is not 
one of the standard combat actions (fight back, dodge, feint, 
flee,  surrender,  or  nothing  [holding  fire]—see  page  103). 
The player would normally be encouraged"
