question,answer,chapter,generated_answer,system_prompt
What is the hypnosis skill?,"It is the ability to induce another person in a trancelike state, which allows the person to relax and recall memories that were forgotten. The limits of the skill during the game are decided by the Keeper, for example if the player is able to use the skill on an unwilling target.",4,"The hypnosis skill is a technique used to induce a state of deep relaxation, heightened suggestibility, and heightened focus, allowing individuals to access their subconscious mind and access their deepest desires, fears, and motivations. Hypnosis is a state of focused attention, concentration, and heightened suggestibility, where the individual is more receptive to suggestions and ideas.

During hypnosis, the hypnotherapist (or the individual practicing hypnosis) guides the person into a relaxed and focused state, often using a gentle, soothing voice, and a calm, non-judgmental tone. The goal of hypnosis is to help the individual access their subconscious mind, where thoughts, emotions, and memories are stored, and to use this access to overcome phobias, anxieties, and other mental health issues.

There are several key elements of hypnosis:

1. **Induction**: The hypnotherapist induces a relaxed and focused state in the individual, often using a gentle, soothing voice and a calm, non-judgmental tone.
2. **Suggestion**: The hypnotherapist uses suggestions to help the individual access their subconscious mind and access their deepest desires, fears, and motivations.
3. **Relaxation**: The individual relaxes and becomes more receptive to",You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,The Keeper,5,"In the context of tabletop role-playing games, such as Dungeons & Dragons, the difficulty level of a skill check is typically determined by the Dungeon Master (DM) or the game's rules. The DM is responsible for creating challenges and setting the difficulty level for various tasks, including skill checks.

The DM considers several factors when determining the difficulty level of a skill check, including:

1. **The task's complexity**: The DM assesses the complexity of the task and how difficult it is to accomplish. This includes considering the number of steps required, the level of skill involved, and any obstacles or challenges that need to be overcome.
2. **The character's level**: The DM takes into account the character's level and their proficiency in the skill. Higher-level characters are generally considered more challenging than lower-level characters.
3. **The environment**: The DM considers the environment in which the task is being performed. For example, a task in a dark dungeon might be more difficult than one in a well-lit market.
4. **The character's abilities and equipment**: The DM takes into account the character's abilities, skills, and equipment, as well as any special abilities or features they possess.
5. **The DM's discretion**: The DM has the final say in determining",You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,"The goal of the player are achieved as it would have been with the original role, without further consequences",5,"In the context of the popular video game ""The Legend of Zelda: Breath of the Wild,"" a successful ""Pushed Roll"" is a type of attack that can be performed by Link, the main protagonist. When executed correctly, a Pushed Roll can be a powerful and useful technique in combat.

Here are some consequences of a successful Pushed Roll:

1. **Increased damage**: A successful Pushed Roll can deal significant damage to enemies, often with a high critical hit chance.
2. **Increased speed and momentum**: The roll can also increase Link's speed and momentum, allowing him to quickly close the distance to enemies or escape from danger.
3. **Improved balance**: The Pushed Roll can help Link maintain balance and stability, making it easier to perform other attacks or dodges.
4. **Enhanced defensive capabilities**: A successful Pushed Roll can also provide a temporary shield, absorbing a set amount of damage before shattering.
5. **Increased stamina**: The roll can also restore some of Link's stamina, allowing him to perform more actions without needing to rest.

However, it's worth noting that a successful Pushed Roll can also have some negative consequences, such as:

1. **Reduced accuracy**: The roll can be less accurate, making it more",You are a helpful AI assistant.
What happens when a player must use more than one skill?,"The Keeper decides if the player must roll a dice for each skill, or roll the dice only once. In the latter case, player makes only one dice roll and then applies the result to each of the skills",5,"In most games, when a player must use more than one skill, it's called a ""multi-skill"" or ""multi-tool"" approach. This can be beneficial in various ways, depending on the game's design and mechanics. Here are some common scenarios where players might need to use multiple skills:

1. **Combining abilities**: In many games, players need to use different skills in combination to overcome challenges or defeat enemies. For example, in a platformer, players might need to use a jump skill to reach a platform and a dash skill to avoid obstacles.
2. **Managing resources**: Some games require players to manage multiple skills to gather resources, such as health, ammo, or materials. Players might need to use a healing skill to restore health, a ranged skill to attack enemies from a distance, and a melee skill to close the distance.
3. **Exploration and navigation**: Multi-skill use can be useful for exploration, as players might need to use a navigation skill to avoid hazards, find hidden paths, or detect hidden enemies.
4. **Combat strategies**: In some games, players need to use multiple skills to defeat enemies, such as using a ranged skill to attack from a distance and a melee skill to close the distance.
5. **",You are a helpful AI assistant.
What are the optional rules of the game system?,There are two optional rules: Spending Luck and Recovering Luck Points,5,"You're referring to Dungeons & Dragons (D&D). I'll provide you with some general information about the optional rules in the game. Keep in mind that these rules may vary depending on the specific edition of D&D you're playing.

**Optional Rules:**

1. **Homebrew Rules:** These are custom-made rules created by the players or the Dungeon Master (DM) to add unique twists to the game. These rules can be used to create a more immersive experience or to accommodate specific player preferences.
2. **House Rules:** These are rules that are not officially published by Wizards of the Coast, but are created by the players or the DM. These rules can be used to create a more streamlined or flexible gameplay experience.
3. **Custom Campaign Settings:** These are pre-made settings that can be used to create a specific story or world. These settings can include rules, NPCs, and plot twists that are tailored to the players' preferences.
4. **Homebrew Campaign Settings:** These are custom-made campaign settings that can be used to create a specific story or world. These settings can include rules, NPCs, and plot twists that are tailored to the players' preferences.

**Some examples of optional rules:**

* **Faction Rules:** Some players create their own factions",You are a helpful AI assistant.
What is a Combat Round?,It is a unit of time in which each player can perform at least one action during combat.,6,"A combat round is a type of ammunition used in firearms, particularly in handguns and rifles. It is a cylindrical or spherical projectile designed to be fired from a gun, typically containing a propellant charge that ignites a primer to propel the projectile out of the barrel.

Combat rounds are designed to be effective at close to medium range, and are often used in self-defense, law enforcement, and military applications. They typically contain a propellant charge, such as black powder or modern propellants, which is ignited by a primer to generate a high-pressure gas that propels the projectile out of the barrel.

Combat rounds can be classified into different types based on their design, range, and intended use. Some common types of combat rounds include:

1. Ball rounds: These are the most common type of combat round, designed for self-defense and law enforcement.
2. Armor-piercing rounds: These rounds are designed to penetrate armor and are often used in military applications.
3. Fragmentation rounds: These rounds are designed to break apart on impact, causing damage to the target.
4. Smoke rounds: These rounds are designed to produce smoke to disorient or confuse the target.
5. Tear gas rounds: These rounds are designed to release a gas that irritates the eyes and",You are a helpful AI assistant.
"If more than one combatants want to attack, who has the right to attack first?","The combatant with the highest DEX. In case of draw, the combatant with highest combat skill",6,"In the context of combat, the rules for determining who has the right to attack first can vary depending on the specific situation and the rules being used. Here are a few common scenarios:

1. **Last Man Standing**: In this scenario, the last person or entity standing is usually considered the winner. This is often used in games like ""last man standing"" or ""last one standing"" challenges.
2. **First to Attack**: In this scenario, the first person or entity to make a move or attack is considered the aggressor and is usually responsible for defending against subsequent attacks.
3. **Random Draw**: In some cases, a random draw can be used to determine who goes first. This can be done by rolling a die, drawing a card, or using a random algorithm.
4. **Agreed Upon**: In some situations, combatants may agree on who goes first or who attacks first. This can be done through verbal agreement or through a pre-arranged protocol.

In general, the rules for determining who has the right to attack first can be:

* **Consent**: If both combatants agree on who goes first, then the rules are clear.
* **Random Draw**: If a random draw is used, the person or entity that draws the highest",You are a helpful AI assistant.
In which situation is a character allowed to escape a close combat?,The character must have no physical restrains and have an escape route,6,"In various fictional universes, there are different rules and circumstances under which a character can escape a close combat situation. Here are some common scenarios:

1. **Retreating**: If a character is in a position to escape, they can often retreat to a safe location, such as a building, a vehicle, or a hiding spot, to avoid further conflict.
2. **Disengaging**: If a character is in a situation where they are outnumbered or outmatched, they may be able to disengage and retreat, using their wits and resources to escape.
3. **Using terrain**: Characters may use their environment to their advantage, such as by using obstacles, hiding behind cover, or using terrain features to escape.
4. **Using allies**: If a character has allies nearby, they may be able to call upon them for help, allowing them to escape the combat situation.
5. **Using magical or supernatural abilities**: In some fictional universes, characters may have magical or supernatural abilities that allow them to escape or evade combat.
6. **Using stealth**: Characters may use stealth tactics, such as sneaking, hiding, or disguising themselves, to evade combat and escape.
7. **Using distractions**: Characters may use distractions, such as creating a diversion or",You are a helpful AI assistant.
How is a firearm attack resolved?,A firearm attack is resolved with a 1D100 roll and compare the result with the Firearm skill of the attacking character. The difficulty level of the roll is determined by the range and other factors,6,"A firearm attack can be resolved in various ways, depending on the context and the specific circumstances of the incident. Here are some possible resolutions:

1. **Investigation and Arrest**: Law enforcement agencies may launch an investigation into the incident, which may involve interviewing witnesses, collecting evidence, and reviewing security footage. If the attack is deemed a crime, the perpetrator may be arrested and charged.
2. **Assessment and Treatment**: Medical professionals may be called to the scene to assess the victim's condition and provide treatment for any injuries. This may include providing pain management, wound care, and stabilizing the victim's vital signs.
3. **First Aid and Emergency Response**: Emergency responders, such as paramedics or firefighters, may be dispatched to the scene to provide immediate medical attention to the victim. They may also attempt to stabilize the victim's condition and provide basic life support.
4. **Firearm Removal and Storage**: If the attack involves a firearm, authorities may need to remove the weapon from the scene and store it in a secure location to prevent further harm to the public.
5. **Psychological Evaluation**: In some cases, a mental health professional may be called to assess the victim's mental state and provide support and treatment if necessary.
6. **Community Outreach and Support",You are a helpful AI assistant.
How does a character recover from a major wound when the Major Wound box is checked?,"The players performs a CON roll. If it is successful, 1D3 hit points are recovered. In case of Extreme success, 2D3 hit points are recovered.",6,"In the Marvel Comics universe, the ""Major Wound"" is a term typically associated with the Marvel Comics character Wolverine, who has a healing factor that allows him to rapidly recover from severe injuries.

However, if you're referring to a different character or context, could you please provide more information or clarify the character you're asking about? I'll do my best to provide a helpful response.

In general, if a character is experiencing a major wound, their recovery process would depend on the specific comic book storyline, movie, or other media they are part of. Here are some possible ways a character might recover from a major wound:

1. **Healing factor**: As I mentioned earlier, Wolverine's healing factor allows him to rapidly recover from severe injuries. This might involve a combination of physical therapy, medical treatment, and emotional support.
2. **Medicine and medical attention**: In many cases, a character might receive medical treatment, such as surgery, medication, or other interventions, to help them recover from their wound.
3. **Support system**: Having a strong support system, including friends, family, or allies, can play a significant role in a character's recovery. They might provide emotional support, help with daily tasks, and offer a sense of normalcy.
4",You are a helpful AI assistant.
Can you provide a short description of how a Chase takes place?,"A chase take place when the participants have an escape route. The Keeper positions the participants, decided the order of play and how many movements each participant can make in each turn. At the beginning each participant makes a CON roll to adjust their MOV rating. Then, at each round of the chase the participants act in DEX order, and move a number of locations based on their MOV rating. In some cases attacks can also be performed. The Keeper can add hazards and barriers to the chase as well.",7,"A Chase, in the context of banking and finance, refers to a series of transactions or actions taken by a bank or financial institution to collect payment or settle a transaction. Here's a brief overview of how a Chase typically occurs:

1. **Initiation**: A customer initiates a transaction, such as a deposit, withdrawal, or payment, by contacting a bank branch or using an online banking platform.
2. **Authorization**: The customer provides identification and confirms the transaction details, such as the amount, account number, and purpose of the transaction.
3. **Authorization**: The bank verifies the customer's identity and confirms the transaction details to ensure it is legitimate.
4. **Authorization**: The bank processes the transaction, which may involve debiting or crediting the customer's account.
5. **Clearing**: The transaction is then sent to the central clearinghouse, where it is matched with other transactions of the same type and amount.
6. **Settlement**: The clearinghouse verifies the transaction details and settles the amount in the customer's account.
7. **Confirmation**: The bank confirms the transaction has been settled, and the customer receives a confirmation of the transaction details.

In the United States, the Federal Reserve System plays a crucial role in facilitating the clearing process, which",You are a helpful AI assistant.
What is a speed roll used for during a chase?,It is used to adjust the participant MOV rating for the whole duration of the chase,7,"In the context of a chase scene in a movie or TV show, a speed roll is a technique used to quickly change the direction of an object's motion, often to avoid obstacles, pursue a target, or create a dramatic effect.

During a speed roll, the object (in this case, a car) is spun around in a circular motion, usually at high speed, to simulate a sharp turn or a sudden change in direction. This is often used to:

1. Avoid obstacles: By spinning around, the object can quickly change direction and avoid hitting an obstacle, such as a tree, building, or another vehicle.
2. Pursue a target: A speed roll can be used to quickly close the distance to a pursuer, creating a sense of urgency and tension.
3. Create a dramatic effect: Speed rolls can be used to create a sense of excitement and drama, adding to the overall tension and suspense of the scene.

Speed rolls are often performed by the driver of the object, and can be done in various ways, including:

* A complete spin, where the object rotates around its axis
* A half-spin, where the object spins around its axis, but doesn't complete a full rotation
* A drift, where the object slowly turns in a smooth",You are a helpful AI assistant.
How many movements can a chase participant take per round?,"Each participant can take one movement action per round, plus the difference between his movement rating and the movement rating of the slowest chase participant",7,"I don't have any information about a specific game or activity called ""chase participant."" Could you please provide more context or clarify what you are referring to? I'll do my best to provide a helpful response.",You are a helpful AI assistant.
What methods can the Keeper use to create obstacles and hazards during a chase?,"The Keeper can decide using his own imagination, or do that randomly using a 1D100 roll.",7,"In the context of a game or simulation, the Keeper can use various methods to create obstacles and hazards during a chase scene. Here are some ideas:

1. **Environmental Hazards**: The Keeper can create environmental hazards such as:
	* Traps: Set up traps like pitfalls, spiked floors, or pressure plates that trigger traps when stepped on.
	* Environmental obstacles: Create narrow ledges, steep cliffs, or moving platforms to slow down the runner.
	* Environmental hazards like mud pits, quicksand, or ice blocks that slow down or stop the runner.
2. **Object Obstacles**: The Keeper can create objects that block the runner's path or slow them down:
	* Barriers: Set up walls, fences, or other barriers to block the runner's path.
	* Obstacles like rocks, logs, or crates that slow down the runner.
	* Moving objects: Create moving objects like rolling boulders, swinging pendulums, or swinging doors that slow down the runner.
3. **Illusions and Misdirection**: The Keeper can create illusions or misdirection to confuse the runner:
	* Fake paths: Create fake paths or shortcuts that lead to a dead end or a trap.
	* Illusionary obstacles: Create objects that appear",You are a helpful AI assistant.
How are vehicle damages computed after a collision?,By rolling a 1D6 to compute build damage. A delay of the vehicle can also be computed costing a 1D3 movement action,7,"Vehicle damages after a collision are typically computed using a combination of factors, including the severity of the collision, the type of vehicle, and the location of the damage. Here's a general overview of the process:

1. **Assessment of damage**: The damage is assessed by a qualified mechanic or repair technician to determine the extent of the damage. This includes evaluating the severity of the collision, the type and location of the damage, and any additional damage that may have occurred during the collision.
2. **Classification of damage**: The damage is classified into different categories, such as:
	* Minor damage: minor scratches, dents, or minor repairs that can be completed quickly and easily.
	* Moderate damage: damage that requires more extensive repairs, such as dents, scratches, or rust.
	* Major damage: damage that requires significant repairs, such as frame rust, body panel damage, or extensive bodywork.
	* Catastrophic damage: damage that is severe and requires extensive repairs, such as a total loss or significant structural damage.
3. **Cost estimation**: The cost of repairs is estimated based on the type and extent of the damage. This includes the cost of parts, labor, and any additional repairs or modifications needed.
4. **Insurance claims processing",You are a helpful AI assistant.
What state of insanity exist in the game?,"There are three states of insanity: temporary, indefinite and permanent.",8,"In the game ""The Legend of Zelda: Breath of the Wild,"" there are several states of insanity that Link can enter, which affect his abilities and perception. Here are the states of insanity in the game:

1. **Insanity**: This is the base state of insanity, where Link's perception and abilities are severely impaired. He becomes disoriented, and his attacks deal less damage.
2. **Drowsiness**: This state is similar to insanity, but Link's perception is slightly improved, and he can see more clearly. However, his attacks deal less damage.
3. **Dizziness**: This state is a step down from Drowsiness, where Link's perception is slightly improved, and he can see more clearly. However, his attacks deal less damage.
4. **Confusion**: This state is the highest level of insanity, where Link's perception is severely impaired, and he becomes disoriented. His attacks deal the most damage, but he is also the most vulnerable to attacks.

These states can be triggered by various events or actions in the game, such as drinking from the Zora's Fountain, using certain items, or being in areas with high levels of pollution.",You are a helpful AI assistant.
How many Sanity points must an investigator loose to become temporary insane?,Five or more,8,"In the context of the popular tabletop game Dungeons & Dragons, the amount of Sanity points lost to become ""insane"" can vary depending on the specific rules and edition of the game being played.

In general, in the 5th edition of Dungeons & Dragons, a character can become insane if they lose a certain number of Sanity points. According to the Player's Handbook (p. 146), a character can become insane if they lose 5 or more Sanity points.

However, it's worth noting that the game master (GM) can also impose additional penalties or effects on a character's Sanity score, which can make it more difficult for them to remain sane.

In some cases, a character may also become insane due to external factors, such as exposure to certain magical effects, supernatural events, or the influence of certain creatures or objects.

It's also worth noting that the concept of Sanity in D&D is a bit more nuanced than just losing points. Sanity is a measure of a character's mental state, and it can be affected by various factors, such as fear, stress, and trauma. A character can become ""unstable"" or ""broken"" if their Sanity score drops to 0, but they may still retain some level of mental function.

If you have",You are a helpful AI assistant.
How is it decided how many hours temporary insanity lasts?,By rolling a 1D10. The results of the roll provides the number of hours of insanity,8,"The concept of temporary insanity is a complex and nuanced topic, and the duration of its effects can vary significantly from person to person. There is no one-size-fits-all answer, as it depends on various factors, including the severity of the injury or condition, the individual's mental state at the time, and the specific circumstances surrounding the incident.

In general, temporary insanity is typically defined as a state of mind that is characterized by a lack of control over one's actions, a distorted perception of reality, and a diminished capacity for rational thought. The duration of temporary insanity can be measured in different ways, including:

1. **Duration of symptoms**: The length of time during which a person experiences symptoms of temporary insanity, such as confusion, disorientation, or impaired judgment.
2. **Duration of the incident**: The length of time during which the incident occurred, which can impact the severity of the injury or condition.
3. **Severity of the injury or condition**: The severity of the injury or condition that caused the incident, which can affect the duration of temporary insanity.
4. **Individual factors**: The individual's mental state, personality, and coping mechanisms at the time of the incident can also influence the duration of temporary insanity.

In general, temporary insanity is often measured using",You are a helpful AI assistant.
What is the best way to recover from Indefinite Insanity?,The best way to recover is through private care or home care,8,"I'm really sorry to hear that you're experiencing feelings of insanity. It sounds like you're going through a very tough time. Recovering from indefinite insanity can be a complex and individualized process, and there's no one-size-fits-all solution. However, I can offer some general guidance and resources that might help.

**Please note that if you're experiencing thoughts of self-harm or suicide, I strongly encourage you to seek help from a qualified mental health professional or a crisis hotline. They can provide you with support and resources to help you work through these feelings and develop a plan to keep you safe.**

That being said, here are some general steps that might be helpful:

1. **Reach out for support**: Talk to someone you trust about how you're feeling. This could be a friend, family member, or a mental health professional. Sometimes, just sharing your emotions with someone who cares about you can help you feel heard and understood.
2. **Practice self-care**: Take care of your physical and emotional needs. Make sure you're getting enough sleep, eating nutritious food, and engaging in activities that bring you joy and relaxation, such as exercise, meditation, or hobbies.
3. **Engage in activities that promote relaxation and stress reduction**: Try activities",You are a helpful AI assistant.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,One,9,"When an investigator conducts a full study of a tome in a language, the number of language skills to be awarded can vary depending on the complexity of the language, the depth of the study, and the level of proficiency desired.

Here's a general breakdown of the language skills that might be assessed in a full study of a tome in different languages:

1. **Basic Language Skills**: These are the fundamental skills required to understand the language, such as:
	* Reading: Can read and comprehend simple texts, including short stories, articles, and dialogues.
	* Writing: Can write simple texts, such as journal entries, letters, or short essays.
	* Speaking: Can engage in basic conversations, using simple vocabulary and grammar.
	* Listening: Can understand simple conversations, including dialogues and lectures.
2. **Intermediate Language Skills**: These skills are more advanced and require a higher level of proficiency, such as:
	* Reading: Can read and comprehend more complex texts, including longer stories, essays, and articles.
	* Writing: Can write more complex texts, such as short stories, essays, and research papers.
	* Speaking: Can engage in more advanced conversations, using a wider range of vocabulary and grammar.
	* Listening: Can understand more complex conversations",You are a helpful AI assistant.
How can a character learn a spell?,"There are three main ways to learn a spell: from a Mythos book, from another player, or from a Mythos entity",9,"In various fictional settings, characters can learn spells through different methods. Here are some common ways a character might learn a spell:

1. **Apprenticeship**: In some magical traditions, a character may learn a spell by apprenticing with an experienced mage or wizard. This involves learning the spell from a master and practicing it under their guidance.
2. **Study and research**: Characters might study ancient tomes, scrolls, or other written texts to learn about the spell and its history, theory, and application. They may also research the materials needed to cast the spell, such as ingredients, rituals, or magical tools.
3. **Trial and error**: Some characters might learn a spell by experimenting and trial-and-error, testing the spell in a controlled environment, such as a laboratory or a magical trial ground.
4. **Mentorship**: A character might learn a spell from a wise and experienced mentor, who teaches them the spell and shares their knowledge and experience.
5. **Incantation and visualization**: Characters might learn a spell by focusing their mind and using visualization techniques to connect with the magical energy and channel it into the spell.
6. **Magical training programs**: Some magical organizations or guilds offer training programs for young mages, which might include",You are a helpful AI assistant.
What type of roll must a player do to cast a spell?,A Hard POW roll,9,"In the context of Dungeons & Dragons, a spellcaster must make a Wisdom (spell save) check to cast a spell.",You are a helpful AI assistant.
